"COMID"	"Al2O3Cat"	"Al2O3Ws"	"BFICat"	"BFIWs"	"CompStrgthCat"	"CompStrgthWs"	"KffactCat"	"KffactWs"	"Na2OWs"	"PctSilicicWs"	"SandCat"	"SandWs"	"SiO2Cat"	"SiO2Ws"	"Tmax8110Cat"	"Tmax8110Ws"	"Tmean08Cat"	"Tmean08Ws"	"Tmean09Cat"	"Tmean09Ws"	"Tmean8110Cat"	"Tmean8110Ws"	"Tmin8110Cat"	"Tmin8110Ws"	"WtDepCat"	"WtDepWs"	"CaOCat"	"CaOWs"	"CatAreaSqKm"	"CatAreaSqKmRp100"	"ClayCat"	"ClayWs"	"Fe2O3Cat"	"Fe2O3Ws"	"HydrlCondCat"	"HydrlCondWs"	"K2OCat"	"MgOCat"	"MgOWs"	"Na2OCat"	"OmCat"	"OmWs"	"PctNonCarbResidCat"	"PctNonCarbResidWs"	"PctSilicicCat"	"PermCat"	"PermWs"	"Precip08Cat"	"Precip08Ws"	"Precip09Cat"	"Precip09Ws"	"Precip8110Cat"	"Precip8110Ws"	"QC_01"	"QC_02"	"QC_03"	"QC_04"	"QC_05"	"QC_06"	"QC_07"	"QC_08"	"QC_09"	"QC_10"	"QC_11"	"QC_12"	"QC_MA"	"RckDepCat"	"RckDepWs"	"RunoffCat"	"RunoffWs"	"WetIndexCat"	"WetIndexWs"	"WsAreaSqKm"	"WsAreaSqKmRp100"	"ElevCat"	"ElevWs"	"K2OWs"	"NCat"	"NWs"	"P2O5Cat"	"P2O5Ws"	"SCat"	"SLOPE"	"SWs"	"clust"
21746361	5.181953	4.58917	29.80573	33.28699	95.61607	105.4781	0.26	0.2103884	0.3206088	0.8731249	41.68	40.36692	46.50177	46.95155	21.20647	17.81468	12.47155	10.02102	12.58712	10.15246	12.54824	9.916114	3.887637	2.012492	182.1423	182.88	2.863816	2.935855	1.181973	0.3147377	3.113071	3.319657	1.07503	1.032745	0.1688198	0.2238652	0.7877434	1.511295	1.413078	0.2797145	0.3754771	0.2973705	3.629761	2.058745	0	1.529989	1.529073	5.161951	6.309051	4.742197	5.757167	5.372768	6.244638	5.715497	6.10542	6.251684	5.690221	4.757977	3.41871	3.558571	3.867151	3.654081	3.765563	3.835639	5.040039	5.132859	4.528544	4.757289	3.850148	3.847762	6.49929	6.092621	7.230271	5.546789	39.94023	45.13169	1.04839	0.2373843	0.2186108	0.3252001	0.313159	0.869005	0.003162278	0.4331516	"4"
21746363	10.08247	8.956619	33	42.56206	1.321583	69.25263	0.32	0.2599501	1.045091	2.219214	27.57	41.80204	50.19462	52.32265	22.30129	18.83712	12.92191	9.816775	13.22601	10.02554	13.09157	9.996442	3.880644	1.150743	182.88	182.6062	0.7090963	2.311941	0.03014116	0.01872361	3.583797	3.273367	2.999141	1.776099	5.312728	2.227635	1.060574	0.5978618	1.372941	0.80072	0.5596158	0.3672647	0	4.282799	0	0.8415672	2.145453	4.887197	5.725005	4.52354	5.382189	5.315646	5.833666	0	0	0	0	0	0	0	0	0	0	0	0	0	5.033049	4.80076	3.850148	2.432686	6.588319	6.187521	10.20717	8.285374	39.29589	45.28775	1.289136	0.6270662	0.3267011	0.342247	0.3970151	0.1661836	0.003162278	0.725617	"1"
21746365	7.184353	8.956061	33	42.55906	66.80432	69.25194	0.3385966	0.2599747	1.044903	2.218519	39.06413	41.8012	45.93819	52.32064	21.90648	18.83808	12.80548	9.81771	13.08616	10.02649	12.845	9.997333	3.778548	1.151565	182.88	182.6062	2.576823	2.312037	2.253048	0.03796993	3.098981	3.273316	1.438658	1.776006	2.374878	2.227662	0.918972	1.700205	1.373063	0.370668	0.5596158	0.3672698	4.591619	4.282914	0	0.8415672	2.145437	4.967524	5.724839	4.556223	5.382013	5.349328	5.833546	0	0.10436	0.1079571	0	0.1079571	0	0.1079571	0.2062008	0.1016537	0.1079571	0.1079571	0	0.0898407	5.033049	4.800766	3.850148	2.433664	6.231501	6.187535	10.20748	8.285379	39.92426	45.28617	1.289117	0.3043535	0.3266939	0.3624517	0.3970048	1.456678	0.003162278	0.7259629	"1"
21746373	5.446259	6.160688	30.98554	30.46871	91.98203	82.15905	0.26	0.26	0.3686324	0	41.68	41.68	46.39135	46.09288	21.19063	21.02342	12.40415	12.27166	12.5167	12.38177	12.48054	12.31012	3.765659	3.591618	181.6367	181.8021	2.832339	2.741933	0.7516519	0.1992606	3.113071	3.113071	1.098707	1.160036	0.1654476	0.156275	0.8062893	1.546	1.634195	0.2890376	0.4981543	0.5200056	3.867597	4.272619	0	1.623459	1.661859	5.186437	5.259953	4.760404	4.824977	5.393905	5.461184	0	0.3933925	0.3933925	0	0.3933925	0	0.2745968	0.4121097	0.4101209	0.3038015	0.4946962	0	0.3653373	4.478947	4.447527	3.850148	3.850148	6.326806	6.457285	3.606896	1.574184	40.02178	40.3497	1.162247	0.2436757	0.2599205	0.330909	0.3458692	0.9820897	0.2125769	1.237065	"1"
21746377	7.030256	7.413462	28.22492	28.84494	70.20298	70.71543	0.3032364	0.2998867	0.4545428	1.087701	41.00033	37.10817	45.7296	47.26817	20.82036	20.12504	12.20738	11.73286	12.31558	11.87566	12.25171	11.63694	3.678551	3.142824	183.8001	182.88	2.619579	2.557303	2.584194	0.7928115	3.087133	3.236672	1.229939	1.25452	0.1449959	0.1803488	0.9107595	1.732001	1.695923	0.3431609	0.5997676	0.7929925	4.594101	4.598145	0	1.182685	0.5933268	5.221699	5.465423	4.817435	5.026506	5.442766	5.637698	0.2053868	0.4478858	0.5538851	0.2507587	0.4478858	0	0.3428802	0.5463858	0.4700036	0.4706284	0.552735	0.2859305	0.5068176	4.516065	4.267597	3.850148	3.850148	6.388238	6.261768	3.761981	1.779603	40.45871	41.54603	1.242321	0.278417	0.2760906	0.3632477	0.3649862	1.489641	0.094971	1.445945	"1"
21746387	4.78186	4.78186	30.50827	30.50827	101.1171	101.1171	0.26	0.26	0.3039968	0	41.68	41.68	46.66891	46.66891	21.20953	21.20953	12.52011	12.52011	12.63357	12.63357	12.53956	12.53956	3.864931	3.864931	183.3639	182.1427	2.909657	2.909657	1.736634	0.7613664	3.113071	3.113071	1.038086	1.038086	0.173903	0.173903	0.7589983	1.456355	1.456355	0.265434	0.5095717	0.5208418	2.748617	2.748617	0	1.56381	1.590754	5.16286	5.16286	4.734675	4.734675	5.37254	5.37254	0	0.06015392	0.06015392	0	0.06015392	0	0.117783	0.117783	0.09075436	0.06015392	0.06015392	0	0.05354077	4.431457	4.423676	3.850148	3.850148	6.400785	6.400785	1.736634	0.7613664	39.96969	39.96969	1.065897	0.2275299	0.2275299	0.3163622	0.3163622	0.6620385	0.1316084	0.6620385	"1"
21746389	4.788547	6.973602	28	28.49449	101.0252	70.98773	0.26	0.2597116	0.4067457	0	41.68	40.65122	46.66612	45.75537	20.77973	20.29653	12.12275	11.71995	12.22637	11.84559	12.2085	11.77952	3.630434	3.25715	183.7275	182.88	2.908908	2.628009	0.5516988	0.2537891	3.113071	3.156705	1.038715	1.225509	0.1738182	0.1457295	0.7594856	1.457299	1.725821	0.2656744	0.5821988	0.7929925	2.044296	4.58702	0	1.184339	0.5933268	5.261671	5.462163	4.850166	5.038556	5.458393	5.610351	0.1680536	0.3750059	0.4173937	0.2350721	0.3750059	0	0.2639015	0.4774756	0.3906898	0.390013	0.4756129	0.2791457	0.4259211	4.371136	4.267597	3.850148	3.850148	6.469692	6.402345	3.552341	1.459522	40.54553	41.30077	1.215482	0.2276981	0.2772393	0.3165119	0.3621317	0.6660265	0.09758622	1.474345	"1"
21746399	5.468156	4.546172	29.25608	33.36818	92.77318	106.1179	0.258425	0.208979	0.3193217	0.8979308	40.99655	40.32961	46.75591	46.97525	20.54951	17.72321	11.93287	9.956742	12.04381	10.08878	11.97022	9.847698	3.385423	1.967129	182.88	182.88	2.828055	2.940671	3.674664	1.470337	3.143318	3.324945	1.097248	1.029037	0.1667804	0.2257004	0.8081203	1.529031	1.406268	0.2915587	0.7929925	0.2973705	3.735914	1.804802	0	0.5933268	1.529073	5.397307	6.327396	4.97294	5.774298	5.557403	6.260017	5.715497	6.104275	6.250697	5.690221	4.753771	3.41871	3.547028	3.856109	3.635874	3.754386	3.827902	5.040039	5.13036	4.267597	4.757289	3.850148	3.847694	6.415529	6.079936	7.202277	5.530286	40.96666	45.26078	1.045097	0.2419993	0.217366	0.3296843	0.312217	0.9464668	0.0606855	0.3883035	"4"
21746415	6.660004	6.161508	32.7973	32.70122	73.87838	81.99231	0.3411688	0.2572823	0.3725676	0	36.9713	36.42688	46.18613	46.12569	21.81138	20.79018	12.71613	11.9596	12.98109	12.12881	12.77219	12.00565	3.728802	3.216158	182.88	182.88	2.653632	2.739803	3.283633	1.01993	3.201443	3.067783	1.42442	1.188371	2.465809	0.8478536	0.8857085	1.634896	1.627869	0.3559365	0.5596158	0.6407992	4.26925	4.238271	0	0.8415672	1.365859	5.051893	5.44677	4.588585	4.863617	5.374923	5.6072	0.04401689	1.421179	1.42142	0.7556524	0.8700373	0	1.133979	1.699827	1.53493	1.496717	1.48024	1.052917	1.406832	5.033049	3.688709	3.850148	3.847759	6.264573	6.30084	5.45847	3.416877	40.0525	41.44441	1.16212	0.2967144	0.2630391	0.3516363	0.3454009	1.297472	0.07754173	1.226523	"1"
21746423	6.491215	5.70227	30	30.02844	77.61449	101.5741	0.34	0.2656298	0.5408161	7.834225	40.02442	35.92954	45.9548	47.64038	20.09151	19.43769	11.19911	10.94141	11.39771	11.05949	11.52688	11.01801	2.956948	2.593357	182.9048	182.88	2.697171	2.850708	0.5280956	0.1516905	3.049273	3.220055	1.187185	1.213029	0.1520028	0.4804165	0.8764189	1.672507	1.473687	0.3250694	0.4767398	0.5485749	4.008696	2.876649	0	1.333952	1.33227	5.683925	5.810278	5.204677	5.354856	5.712089	5.829587	0.5446472	0.5446472	0.8775499	0.4206821	0.5446472	0.09712671	0.4121097	0.7631396	0.5760514	0.7514161	0.6523252	0.5446472	0.6590732	4.537376	3.8446	3.850148	3.850148	6.303069	6.258561	4.004712	1.945824	41.52902	42.63546	1.103819	0.2671021	0.2215018	0.3525758	0.345556	1.338696	0.1135991	0.6319954	"1"
