HabParamName	Description	Unit	NewHabParam	NewHabDescription	Datatype	UseInStressorID	SSTV	SensMin	SensMax	TolMin	TolMax
SHQ_RootMasses	Root masses - Segment Habitat Quality	NA	SHQ_RootMasses	Root masses - Segment Habitat Quality	text	0					
SHQ_SandDomSubstrate	Sand dominated substrate - Segment Habitat Quality	NA	SHQ_SandDomSubstrate	Sand dominated substrate - Segment Habitat Quality	text	0					
SHQ_SubmergLogsSnares	Submerged logs / snares - Segment Habitat Quality	NA	SHQ_SubmergLogsSnares	"Submerged logs, snares - Segment Habitat Quality"	text	0					
"SHQ_UndercutBanks
Leaf packs
Root masses
Macrophyte beds
Submerged logs / snares
Sand dominated substrate
Filamentous algae beds"	"Undercut banks - Segment Habitat Quality
Leaf packs
Root masses
Macrophyte beds
Submerged logs / snares
Sand dominated substrate
Filamentous algae beds"	NA	SHQ_UndercutBanks	Undercut banks - Segment Habitat Quality	text	0					
Sinuosity	Sinuosity	NA	Sinuosity	Sinuosity	numeric	0					
Size_classes_number (REACH)	Size_classes_number (REACH pebble count)	NA	SizeClassesNumber_Reach	Size_classes_number (REACH pebble count)	numeric	0					
Size_classes_number (RIFFLE)	Size_classes_number (RIFFLE)	NA	SizeClassesNumber_Riffle	Size_classes_number (RIFFLE)	numeric	0					
SSC	streamside cover	NA	SSC	streamside cover	text	0					
SST	Substrate type (decision criteria)	NA	SST	Substrate type (decision criteria)	text	0					
Standadized Score_Rosgen	Rosgen-Pfankuch Standadized Score 0-100	NA	StandardizedScore_Rosgen	Rosgen-Pfankuch Standadized Score 0-100	numeric	0					
SteambedOM	Leaves or other organic matter on streambed	NA	SteambedOM	Leaves or other organic matter on streambed	text	0					
Stream Bed Stability	Stream Bed Stability	NA	StreamBedStability	Stream Bed Stability	text	0					
Stream_Type_Confidence	Confidence level for Rosgen stream type	NA	StreamType_Confidence	Confidence level for Rosgen stream type	text	0					
Sum of Scores	"Sum of Scores, Pfankuch"	NA	SumOfScores	"Sum of Scores, Pfankuch"	numeric	0					
Sum_Scores_Rosgen	Sum of scored by Rosgen-Pfankuch method	NA	SumScores_Rosgen	Sum of scored by Rosgen-Pfankuch method	numeric	0					
Surface Protection	Surface Protection	NA	SurfaceProtection	Surface Protection	text	0					
SVR	Stream variety (decision criteria)	NA	SVR	Stream variety (decision criteria)	text	0					
Top_Lat	"Latitude at the top of the reach, decimal degrees in NAD 83"	NA	TopLat	"Latitude at the top of the reach, decimal degrees in NAD 83"	numeric	0					
Top_Long	"Longitude at the top of the reach, decimal degrees in NAD 83"	NA	TopLong	"Longitude at the top of the reach, decimal degrees in NAD 83"	numeric	0					
UB	Upper Bank Stability - Hab.Index 1992-1996	NA	UB	Upper Bank Stability - Hab.Index 1992-1996	numeric	0					
USGSDischarge	USGS Discharge	NA	USGSDischarge	USGS Discharge	numeric	0					
USGSGageHeight	USGS Gage Height	NA	USGSGageHeight	USGS Gage Height	numeric	0					
VD	Velocity/Depth - Hab.Index 1992-1996	NA	VD	Velocity:Depth Habitat Index 1992-1996	numeric	0					
Vegetation formations	"Desert, Grassland, Chaparral, Woodland, etc."	NA	VegetationFormations	"Desert, Grassland, Chaparral, Woodland, etc."	text	0					
Vegetative Bank Protection	Pfankuch Vegetative Bank Protection	NA	VegetativeBankProtection	Pfankuch Vegetative Bank Protection	text	0					
VLD	Velocity/Depth - Hab.Index 1997-2000	NA	VLD	Velocity:Depth Habitat Index 1997-2000	text	0					
WAP	Water appearance/clarity	NA	WAP	Water appearance and clarity	text	0					
Width - Depth Ratio	Pfankuch Width - Depth Ratio	NA	WidthDepthRatio_Pfankuch	Pfankuch Width - Depth Ratio	text	0					
W/D_Ratio	Width/Depth Ratio	NA	WidthDepthRatio	Width:Depth ratio	numeric	0					
WOD	Water odor	NA	WOD	Water odor	text	0					
