"fxnname"	"condition"	"result"	"comment"
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 905SDYSA7 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 905WE0679 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 905WE0679 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 905WE1018 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 907S00577 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 907S00577 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 907S00577 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 907S01418 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 907S01434 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 907S01434 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 907S01434 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 907S03210 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 907S03210 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 907S03210 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 907S03786 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 907S03786 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 907S03786 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 907S05514 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 907S05514 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 907S05514 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 909WE0780 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 911S00858 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 911S00858 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 911S00858 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 911S03354 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 911S03354 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 911S03354 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC00080 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC00480 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC01413 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site SMC01413 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC01504 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Wet"	0	"Value removed as an outlier for site SMC01504 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site SMC01504 Transformation applied prior to identification as necessary."
"All data outliers"	"QmaxIDR_All"	0	"Value removed as an outlier for site SMC01504 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC01640 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC01640 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site SMC01640 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC01692 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC01692 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site SMC01692 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC01694 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC01694 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC02092 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC02092 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site SMC02092 Transformation applied prior to identification as necessary."
