StationID_Master	CanonicalStationID	WaterbodyName	WaterbodyType	FinalLatitude	FinalLongitude	Coastal	CARefSite_2017	GIS_County	GIS_State	GIS_EcoL3Code	GIS_EcoL3Name	COMID_NHD2	COMID_NHD2_Notes	StationComment
SE11-1A	SE11-1A	San Elijo Lagoon	Estuary	33.01	-117.27	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342597		
SE11-1B	SE11-1B	San Elijo Lagoon	Estuary	33.01	-117.27	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342597		
SE11-1C	SE11-1	San Elijo Lagoon	Estuary	33.01	-117.27	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342597		
SE11-2	SE11-2	San Elijo Lagoon	Estuary	33.01	-117.27	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342597		
SE11-2A	SE11-2A	San Elijo Lagoon	Estuary	33.01	-117.27	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342597		
SE11-2B	SE11-2B	San Elijo Lagoon	Estuary	33.01	-117.27	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342597		
SE11-2C	SE11-2	San Elijo Lagoon	Estuary	33.01	-117.27	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342597		
SEL-2	SEL-2	Carlsbad		33.01	-117.27	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342597		
SEL-3	SEL-3	Carlsbad		33.01	-117.25	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342679		
SEL-5	SEL-5	Carlsbad		33.01	-117.25	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342689		
SGCC1	SGCC1			33.8	-118.08	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22525001		
SGCR1	SGCR1			33.84	-117.92	0	0	Orange	California	85	Southern California/Northern Baja Coast	22527389		
SGLT506	SGLT506			34.06	-117.99	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22524847		
SGLT507	SGLT507			34.03	-118.03	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22521721		
SGLT508	SGLT508			33.79	-118.08	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22525001		
