FEATUREID	AreaSqKM	P_High	P_Mod	P_VeryHigh	P_TotalFire
20332936	2.1834	NA	NA	14.7545564	14.7545564
20332938	5.5512	3.986637438	NA	23.65530262	27.64194006
20332944	2.9691	10.75039214	4.058725377	85.19088165	99.99999917
20332946	0.6381	0.478172562	NA	99.5218321	100.0000047
20332948	2.9286	NA	NA	100	100
20332950	2.9988	NA	NA	63.98040343	63.98040343
20332952	0.6669	NA	NA	100.0000034	100.0000034
20332954	1.4724	NA	NA	15.85321513	15.85321513
20332956	1.0017	NA	NA	100.000003	100.000003
20332960	2.0961	NA	NA	18.7823634	18.7823634
20332962	1.629	NA	NA	99.99999772	99.99999772
20332966	0.8712	13.51582847	5.069416338	81.41475787	100.0000027
20332968	0.4338	NA	NA	45.51544446	45.51544446
20332972	0.981	3.578462336	NA	96.42153606	99.9999984
20332974	1.6263	NA	NA	99.99999963	99.99999963
20332976	1.3194	NA	NA	100.000001	100.000001
20332978	0.3339	NA	NA	40.32832084	40.32832084
20332980	2.8512	12.9944089	15.90983293	18.86978912	47.77403095
20332982	4.0302	5.931864955	NA	29.92490163	35.85676659
20332984	1.7766	NA	NA	3.069323225	3.069323225
20332986	1.5102	NA	NA	0.01834317	0.01834317
20332988	2.1312	14.04907908	2.8236236	83.12729516	99.99999784
20332990	0.6795	NA	NA	99.99999698	99.99999698
20332994	0.8748	12.80545747	1.585808342	85.60873616	100.000002
20332996	1.7523	NA	44.29373615	55.70626551	100.0000017
20332998	1.6677	NA	NA	64.69522571	64.69522571
20333000	2.8152	NA	NA	12.1629065	12.1629065
20333002	1.3914	NA	NA	100.000001	100.000001
20333006	3.1653	NA	30.48228879	54.3881217	84.87041048
20333008	5.9274	NA	0.370733466	46.38800793	46.75874139
20333012	1.6506	NA	NA	92.10397969	92.10397969
20333016	2.0034	NA	NA	20.57161861	20.57161861
20333018	5.5404	NA	NA	73.50946754	73.50946754
20333020	1.0242	NA	NA	100.0000027	100.0000027
20333022	0.9918	4.745187785	NA	95.25481118	99.99999897
20333024	2.6874	26.40975752	18.38408926	55.20615268	99.99999946
20333026	1.0125	NA	19.10892346	80.89107578	99.99999924
