StationID_Master	ChemSampleID	SampDate	SampYear	StdParamName	ResultValue	COMID	clust
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	Sulfate_f_mg_L	292	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	Ev_FlowHab_score	0.75	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	AFDM_algae_particulate_g_m2	38.6	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	NO3NO2_N_mg_L	0.0125	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	Chloride_f_mg_L	3.065	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	TN_uf_mg_L	0.104	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	TSS_particulate_mg_L	0.4	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	NH3_N_uf_mg_L	0.0034	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	H_SubNat_score	1	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	DOC_f_mg_L	0.735	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	XCMG_score	0.69	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	P_uf_mg_L	0.0168	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	Silica_SiO2_f_mg_L	16.9	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	PO4_P_f_mg_L	0.0216	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	IPI	0.99	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	Chlor_a_particulate_mg_m2	27.2	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	H_AqHab_score	0.57	17585756	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	PCT_SAFN_score	0.8	17585756	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	P_uf_mg_L	0.0061	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	XCMG_score	0.69	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	TKN_uf_mg_L	0.593	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	NO3NO2_N_f_mg_L	0.0074	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	IPI	1.09	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	Ev_FlowHab_score	0.82	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	H_AqHab_score	0.98	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	DOC_f_mg_L	2.05	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	PCT_SAFN_score	0.83	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	PO4_P_f_mg_L	0.0146	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	Chlor_a_particulate_mg_m2	12.4	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	Silica_SiO2_f_mg_L	13.7	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	Sulfate_f_mg_L	328	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	NH3_N_f_mg_L	0.0228	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	H_SubNat_score	0.98	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	AFDM_algae_particulate_g_m2	9.79	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	Hardness_CaCO3_f_mg_L	436	17585714	2
402PS0048	402PS0048_2008-05-21	5/21/2008	2008	Chloride_f_mg_L	6.36	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	Sulfate_f_mg_L	315.35	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	H_SubNat_score	0.72	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	Chlor_a_particulate_mg_m2	45.45	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	AFDM_algae_particulate_g_m2	9.09	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	DOC_f_mg_L	0.87	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	H_AqHab_score	0.75	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	Ev_FlowHab_score	0.9	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	NH3_N_f_mg_L	0.008	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	ANC_ueq_L	3155.15	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	ColorTrue_CU	3	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	Calcium_f_mg_L	121.336	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	Chloride_f_mg_L	3.02	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	Silica_SiO2_f_mg_L	15.39	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	TN_uf_mg_L	0.063	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	XCMG_score	0.81	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	TSS_particulate_mg_L	2.8	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	Magnesium_f_mg_L	34.45	17585714	2
