"ANALYSIS_TYPE"	"CHEMICAL_NAME"	"FinalUnit"	"StdParamName"	"GroupNum"	"GroupName"	"LogTransf"	"SSD"	"SSTV"	"SensMin"	"SensMax"	"TolMin"	"TolMax"	"UseInStressorID"	"DirIncStress"	"SSTVname"	"Label"	"MinWQO_CAR9"	"MCL_Primary"	"MCL_Secondary"	"Analyte"
"Total"	"Beryllium"	"ug/L"	"Beryllium_uf_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total beryllium (µg/L)"	NA	0.004	NA	"Beryllium_uf_ug_L"
"Total"	"Bifenthrin"	"ng/g dw"	"Bifenthrin_tot_ng_g_dw"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total bifenthrin (ng/g dry weight)"	NA	NA	NA	"Bifenthrin_tot_ng_g_dw"
"Total"	"Bifenthrin"	"ug/L"	"Bifenthrin_ug_L"	13	"Pyrethroids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Total bifenthrin (µg/L)"	NA	NA	NA	"Bifenthrin_ug_L"
"Total"	"Boron"	"mg/L"	"Boron_uf_mg_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total boron (mg/L)"	0.75	NA	NA	"Boron_uf_mg_L"
"Dissolved"	"Cadmium"	"ug/L"	"Cadmium_f_ug_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved cadmium (µg/L)"	NA	0.005	NA	"Cadmium_f_ug_L"
"Total"	"Cadmium"	"mg/kg dw"	"Cadmium_tot_mg_kg_dw"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total cadmium (mg/kg dry weight)"	NA	NA	NA	"Cadmium_tot_mg_kg_dw"
"Total"	"Cadmium"	"ug/L"	"Cadmium_uf_ug_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Total cadmium (µg/L)"	NA	0.005	NA	"Cadmium_uf_ug_L"
"Dissolved"	"Calcium"	"mg/L"	"Calcium_f_mg_L"	5	"Ions"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved calcium (mg/L)"	NA	NA	NA	"Calcium_f_mg_L"
"Total"	"Calcium"	"mg/L"	"Calcium_uf_mg_L"	5	"Ions"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total calcium (mg/L)"	NA	NA	NA	"Calcium_uf_mg_L"
"Particulate"	"Chlorophyll a"	"mg/m2"	"Chlor_a_particulate_mg_m2"	7	"Nutrients"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Particulate chlorophyll a (mg/m2)"	NA	NA	NA	"Chlor_a_particulate_mg_m2"
"Particulate"	"Chlorophyll a"	"ug/L"	"Chlor_a_particulate_ug_L"	7	"Nutrients"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Particulate chlorophyll a (µg/L)"	NA	NA	NA	"Chlor_a_particulate_ug_L"
"Dissolved"	"Chloride"	"mg/L"	"Chloride_f_mg_L"	5	"Ions"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved chloride (mg/L)"	50	NA	NA	"Chloride_f_mg_L"
"Dissolved"	"Chromium"	"ug/L"	"Chromium_f_ug_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved chromium (µg/L)"	NA	0.05	NA	"Chromium_f_ug_L"
"Total"	"Chromium"	"mg/kg dw"	"Chromium_tot_mg_kg_dw"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total chromium (mg/kg dry weight)"	NA	NA	NA	"Chromium_tot_mg_kg_dw"
"Total"	"Chromium"	"ug/L"	"Chromium_ug_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Total chromium (µg/L)"	NA	0.05	NA	"Chromium_ug_L"
"Total"	"Cinerin-1"	"ug/L"	"Cinerin_1_ug_L"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total cinerin-1 (µg/L)"	NA	NA	NA	"Cinerin_1_ug_L"
"Total"	"Cinerin-2"	"ug/L"	"Cinerin_2_ug_L"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total cinerin-2 (µg/L)"	NA	NA	NA	"Cinerin_2_ug_L"
"Total"	"Cinerin-1"	"ng/g dw"	"Cinerin1_tot_ng_g_dw"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total cinerin-1 (ng/g dry weight)"	NA	NA	NA	"Cinerin1_tot_ng_g_dw"
