"StationID_Master"	"ChemSampleID"	"SampDate"	"SampleType"	"matrixname"	"StdParamName"	"ResultText"	"ResultValue"	"ResultHalfMDL"	"ConvertTo"	"COMID_NHD2"	"clust"
"SMC06356"	"SMC06356_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-74.5	-74.5	-74.5	"NoDisturb"	17564110	2
"SMC06356"	"SMC06356_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	1.423043514	1.423043514	1.423043514	"Q99"	17564110	2
"SMC06356"	"SMC06356_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.159163883	0.159163883	0.159163883	"MaxMonthQ"	17564110	2
"SMC06356"	"SMC06356_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	5.70634	5.70634	5.70634	"QmaxIDR"	17564110	2
"SMC06467"	"SMC06467_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-121	-121	-121	"NoDisturb"	22563198	2
"SMC06467"	"SMC06467_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.000942	0.000942	0.000942	"QmaxIDR"	22563198	2
"SMC06467"	"SMC06467_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	6.84e-05	6.84e-05	6.84e-05	"Q99"	22563198	2
"SMC06467"	"SMC06467_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.000240725	0.000240725	0.000240725	"MaxMonthQ"	22563198	2
"SMC06467"	"SMC06467_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.000491115	0.000491115	0.000491115	"RBI"	22563198	2
"SMC06467"	"SMC06467_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	0	0	0	"HighNum"	22563198	2
"SMC06467"	"SMC06467_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	0	0	0	"HighDur"	22563198	2
"SMC06612"	"SMC06612_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	1.052258366	1.052258366	1.052258366	"MaxMonthQ"	163864409	1
"SMC06612"	"SMC06612_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	1.192136069	1.192136069	1.192136069	"RBI"	163864409	1
"SMC06612"	"SMC06612_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-31.5	-31.5	-31.5	"HighDur"	163864409	1
"SMC06612"	"SMC06612_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-292.5	-292.5	-292.5	"NoDisturb"	163864409	1
"SMC06612"	"SMC06612_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	12.85004339	12.85004339	12.85004339	"QmaxIDR"	163864409	1
"SMC06612"	"SMC06612_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	4.115078707	4.115078707	4.115078707	"Q99"	163864409	1
"SMC06612"	"SMC06612_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	15.5	15.5	15.5	"HighNum"	163864409	1
"SMC06740"	"SMC06740_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-16.5	-16.5	-16.5	"NoDisturb"	17564136	2
"SMC06740"	"SMC06740_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	19	19	19	"HighNum"	17564136	2
"SMC06740"	"SMC06740_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-9	-9	-9	"HighDur"	17564136	2
"SMC06740"	"SMC06740_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	1.555559619	1.555559619	1.555559619	"RBI"	17564136	2
"SMC06740"	"SMC06740_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.227168906	0.227168906	0.227168906	"MaxMonthQ"	17564136	2
"SMC06740"	"SMC06740_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	1.7149319	1.7149319	1.7149319	"QmaxIDR"	17564136	2
"SMC06740"	"SMC06740_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	0.764882823	0.764882823	0.764882823	"Q99"	17564136	2
"SMC06794"	"SMC06794_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	0	0	0	"HighNum"	20334440	5
"SMC06794"	"SMC06794_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-100	-100	-100	"NoDisturb"	20334440	5
"SMC06794"	"SMC06794_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	0	0	0	"HighDur"	20334440	5
"SMC06794"	"SMC06794_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	-0.003774462	-0.003774462	-0.003774462	"MaxMonthQ"	20334440	5
"SMC06794"	"SMC06794_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	5.36e-07	5.36e-07	5.36e-07	"RBI"	20334440	5
"SMC06794"	"SMC06794_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.114048	0.114048	0.114048	"QmaxIDR"	20334440	5
"SMC06794"	"SMC06794_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	-0.000849344	-0.000849344	-0.000849344	"Q99"	20334440	5
"SMC06863"	"SMC06863_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-46.5	-46.5	-46.5	"NoDisturb"	17586460	2
"SMC06863"	"SMC06863_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	0	0	0	"HighDur"	17586460	2
"SMC06863"	"SMC06863_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	0	0	0	"HighNum"	17586460	2
"SMC06863"	"SMC06863_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	0.013069809	0.013069809	0.013069809	"Q99"	17586460	2
"SMC06863"	"SMC06863_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.001494103	0.001494103	0.001494103	"RBI"	17586460	2
"SMC06863"	"SMC06863_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.003181754	0.003181754	0.003181754	"MaxMonthQ"	17586460	2
"SMC06863"	"SMC06863_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.03767	0.03767	0.03767	"QmaxIDR"	17586460	2
"SMC06918"	"SMC06918_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	1.416521303	1.416521303	1.416521303	"RBI"	20331496	1
"SMC06918"	"SMC06918_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	6	6	6	"HighNum"	20331496	1
"SMC06918"	"SMC06918_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-167.5	-167.5	-167.5	"NoDisturb"	20331496	1
