ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	GroupNum	GroupName	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID	DirIncStress
Total	Manganese	mg/kg dw	Manganese_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Manganese	ug/L	Manganese_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Mercury	ng/L	Mercury_f_ng_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Mercury	ng/L	Mercury_ng_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Mercury	mg/kg dw	Mercury_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Molybdenum	ug/L	Molybdenum_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Molybdenum	ug/L	Molybdenum_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Nickel	ug/L	Nickel_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Nickel	mg/kg dw	Nickel_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Nickel	ug/L	Nickel_uf_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Dissolved	Selenium	ug/L	Selenium_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Selenium	ug/L	Selenium_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Dissolved	Silver	ug/L	Silver_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Arsenic	ug/L	Arsenic_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Arsenic	mg/kg dw	Arsenic_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Arsenic	ug/L	Arsenic_uf_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Dissolved	Barium	ug/L	Barium_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Barium	ug/L	Barium_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
