ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	GroupNum	GroupName	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID	DirIncStress
Total	"Dichloroethylene, 1,1-"	ug/L	Dichloroethylene_11_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dichloroethylene, cis 1,2-"	ug/L	Dichloroethylene_cis_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dichloroethylene, trans 1,2-"	ug/L	Dichloroethylene_trans_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dichloropropane, 1,2-"	ug/L	Dichloropropane_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dichloropropane, 1,3-"	ug/L	Dichloropropane_13_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dichloropropane, 2,2-"	ug/L	Dichloropropane_22_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dichloropropene, 1,1-"	ug/L	Dichloropropene_11_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Mirex	ng/g dw	Mirex_tot_ng_g_dw	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Mirex	ug/L	Mirex_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Nonachlor, cis-"	ng/g dw	Nonachlor_cis_ng_g_dw	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Nonachlor, cis-"	ug/L	Nonachlor_cis_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Nonachlor, trans-"	ng/g dw	Nonachlor_trans_ng_g_dw	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Nonachlor, trans-"	ug/L	Nonachlor_trans_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Tetrachloroethane, 1,1,1,2-"	ug/L	Tetrachloroethane_1112-ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Tetrachloroethane, 1,1,2,2-"	ug/L	Tetrachloroethane_1122_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Tetrachloroethylene	ug/L	Tetrachloroethylene_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Trichlorobenzene, 1,2,3-"	ug/L	Trichlorobenzene_123_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Trichlorobenzene, 1,2,4-"	ug/L	Trichlorobenzene_124_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Trichloroethane, 1,1,1-"	ug/L	Trichloroethane_111_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Trichloroethane, 1,1,2-"	ug/L	Trichloroethane_112_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Trichloroethylene	ug/L	Trichloroethylene_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Trichloropropane, 1,2,3-"	ug/L	Trichloropropane_123_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Aspon	ug/L	Aspon_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Azinphos Ethyl	ug/L	Azinphos_Ethyl_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Azinphos Methyl	ug/L	Azinphos_Methyl_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Bolstar	ug/L	Bolstar_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Carbophenothion	ug/L	Carbophenothion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Chlorfenvinphos	ug/L	Chlorfenvinphos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Chlorpyrifos Methyl	ug/L	Chlorpyrifos_Methyl_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Chlorpyrifos	ug/L	Chlorpyrifos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Ciodrin	ug/L	Ciodrin_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Coumaphos	ug/L	Coumaphos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Demeton-s	ug/L	Demeton_s_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Diazinon	ug/L	Diazinon_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Dichlofenthion	ug/L	Dichlofenthion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Dichlorvos	ug/L	Dichlorvos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Dicrotophos	ug/L	Dicrotophos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Dimethoate	ug/L	Dimethoate_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Dioxathion	ug/L	Dioxathion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Disulfoton	ug/L	Disulfoton_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Ethion	ug/L	Ethion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Ethoprop	ug/L	Ethoprop_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Famphur	ug/L	Famphur_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Fenchlorphos	ug/L	Fenchlorphos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Fenitrothion	ug/L	Fenitrothion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Fensulfothion	ug/L	Fensulfothion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Fenthion	ug/L	Fenthion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Fonofos	ug/L	Fonofos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Leptophos	ug/L	Leptophos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Malathion	ug/L	Malathion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Merphos	ug/L	Merphos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Methidathion	ug/L	Methidathion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Mevinphos	ug/L	Mevinphos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Naled	ug/L	Naled_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Parathion, Ethyl"	ug/L	Parathion_Ethyl_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Parathion, Methyl"	ug/L	Parathion_Methyl_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Phorate	ug/L	Phorate_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Phosmet	ug/L	Phosmet_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Phosphamidon	ug/L	Phosphamidon_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Sulfotep	ug/L	Sulfotep_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Terbufos	ug/L	Terbufos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Tetrachlorvinphos	ug/L	Tetrachlorvinphos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Thionazin	ug/L	Thionazin_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Tokuthion	ug/L	Tokuthion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Trichlorfon	ug/L	Trichlorfon_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Trichloronate	ug/L	Trichloronate_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc
Total	Acenaphthene	ug/L	Acenaphthene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Acenaphthylene	ug/L	Acenaphthylene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Anthracene	ug/L	Anthracene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Benz(a)anthracene	ug/L	Benz_a_anthracene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Benzo(a)pyrene	ug/L	Benzo_a_pyrene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Benzo(b)fluoranthene	ug/L	Benzo_b_fluoranthene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Benzo(e)pyrene	ug/L	Benzo_e_pyrene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Benzo(g,h,i)perylene"	ug/L	Benzo_ghi_perylene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Benzo(k)fluoranthene	ug/L	Benzo_k_fluoranthene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Chrysene	ug/L	Chrysene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dibenz(a,h)anthracene"	ug/L	Dibenz_ah_anthracene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dimethylnaphthalene, 2,6-"	ug/L	Dimethylnaphthalene_26_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Fluoranthene	ug/L	Fluoranthene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Fluorene	ug/L	Fluorene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Indeno(1,2,3-c,d)pyrene"	ug/L	Indeno_123cd_pyrene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Methylnaphthalene, 1-"	ug/L	Methylnaphthalene_1_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Methylnaphthalene, 2-"	ug/L	Methylnaphthalene_2_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Methylphenanthrene, 1-"	ug/L	Methylphenanthrene_1_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Naphthalene	ug/L	Naphthalene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Phenanthrene	ug/L	Phenanthrene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	Pyrene	ug/L	Pyrene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Trimethylnaphthalene, 2,3,5-"	ug/L	Trimethylnaphthalene_235_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 005	ug/L	PCB005_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 008	ng/g dw	PCB008_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 008	ug/L	PCB008_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 015	ug/L	PCB015_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 018	ng/g dw	PCB018_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 018	ug/L	PCB018_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 027	ng/g dw	PCB027_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 027	ug/L	PCB027_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 028/31	ng/g dw	PCB028_31_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 028	ug/L	PCB028_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 029	ng/g dw	PCB029_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 029	ug/L	PCB029_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 031	ug/L	PCB031_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 033	ng/g dw	PCB033_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 033	ug/L	PCB033_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 044	ng/g dw	PCB044_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 044	ug/L	PCB044_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 049	ng/g dw	PCB049_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 049	ug/L	PCB049_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 052	ng/g dw	PCB052_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 052	ug/L	PCB052_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 056/60	ng/g dw	PCB056_60_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 056	ug/L	PCB056_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 060	ug/L	PCB060_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 064	ng/g dw	PCB064_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 066	ng/g dw	PCB066_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 066	ug/L	PCB066_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 070	ng/g dw	PCB070_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 070	ug/L	PCB070_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 074	ng/g dw	PCB074_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 074	ug/L	PCB074_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 077	ng/g dw	PCB077_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 077	ug/L	PCB077_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 087	ng/g dw	PCB087_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 087	ug/L	PCB087_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 095	ng/g dw	PCB095_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 095	ug/L	PCB095_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 097	ng/g dw	PCB097_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 097	ug/L	PCB097_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 099	ng/g dw	PCB099_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 099	ug/L	PCB099_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 101	ng/g dw	PCB101_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 101	ug/L	PCB101_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 105	ng/g dw	PCB105_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 105	ug/L	PCB105_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 110/151	ug/L	PCB110_151_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 110	ng/g dw	PCB110_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 110	ug/L	PCB110_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 114	ng/g dw	PCB114_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 114	ug/L	PCB114_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 118	ng/g dw	PCB118_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 118	ug/L	PCB118_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 126	ng/g dw	PCB126_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 126	ug/L	PCB126_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 128	ng/g dw	PCB128_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 128	ug/L	PCB128_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 137	ng/g dw	PCB137_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 137	ug/L	PCB137_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 138/158	ng/g dw	PCB138_158_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 138	ug/L	PCB138_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 141	ng/g dw	PCB141_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 141	ug/L	PCB141_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 146	ng/g dw	PCB146_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 149	ng/g dw	PCB149_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 149	ug/L	PCB149_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 151	ng/g dw	PCB151_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 151	ug/L	PCB151_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 153	ng/g dw	PCB153_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 153	ug/L	PCB153_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 156	ng/g dw	PCB156_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 156	ug/L	PCB156_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 157	ng/g dw	PCB157_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 157	ug/L	PCB157_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 158	ug/L	PCB158_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 169	ng/g dw	PCB169_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 170	ng/g dw	PCB170_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 170	ug/L	PCB170_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 174	ng/g dw	PCB174_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 174	ug/L	PCB174_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 177	ng/g dw	PCB177_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 177	ug/L	PCB177_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 180	ng/g dw	PCB180_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 180	ug/L	PCB180_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 183	ug/L	PCB183_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 187	ng/g dw	PCB187_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 187	ug/L	PCB187_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 189	ng/g dw	PCB189_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 189	ug/L	PCB189_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 194	ng/g dw	PCB194_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 194	ug/L	PCB194_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 195	ng/g dw	PCB195_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 195	ug/L	PCB195_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 198	ng/g dw	PCB198_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 199	ng/g dw	PCB199_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 200	ng/g dw	PCB200_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 200	ug/L	PCB200_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 201	ng/g dw	PCB201_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 201	ug/L	PCB201_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 203	ng/g dw	PCB203_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 203	ug/L	PCB203_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 206	ng/g dw	PCB206_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 206	ug/L	PCB206_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 209	ng/g dw	PCB209_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	PCB 209	ug/L	PCB209_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc
Total	Bifenthrin	ng/g dw	Bifenthrin_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Bifenthrin	ug/L	Bifenthrin_ug_L	13	Pyrethroids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Cinerin-1	ug/L	Cinerin_1_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Cinerin-2	ug/L	Cinerin_2_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Cinerin-1	ng/g dw	Cinerin1_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Cinerin-2	ng/g dw	Cinerin2_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Cyfluthrin, Total"	ng/g dw	Cyfluthrin_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Cyfluthrin, Total"	ug/L	Cyfluthrin_Total_ug_L	13	Pyrethroids	1	1	0	NA	NA	NA	NA	1	Inc
Total	"Cyhalothrin, Total lambda-"	ng/g dw	Cyhalothrin_lambda_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Cyhalothrin, Total lambda-"	ug/L	Cyhalothrin_Total_lambda_ug_L	13	Pyrethroids	1	1	0	NA	NA	NA	NA	1	Inc
Total	"Cypermethrin, Total"	ng/g dw	Cypermethrin_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Cypermethrin, Total"	ug/L	Cypermethrin_Total_ug_L	13	Pyrethroids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Deltamethrin/Tralomethrin	ug/L	Deltamethrin_Tralomethrin_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Deltamethrin	ug/L	Deltamethrin_ug_L	13	Pyrethroids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Deltamethrin/Tralomethrin	ng/g dw	DeltamethrinTralomethrine_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Esfenvalerate/Fenvalerate-1	ug/L	Esfenvalerate_Fenvalerate_1_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Esfenvalerate/Fenvalerate-2	ug/L	Esfenvalerate_Fenvalerate_2_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Esfenvalerate/Fenvalerate, Total"	ug/L	Esfenvalerate_Fenvalerate_Total_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Esfenvalerate/Fenvalerate, Total"	ng/g dw	EsfenvalerateFenvalerate_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Fenpropathrin	ng/g dw	Fenpropathrin_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Fenpropathrin	ug/L	Fenpropathrin_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Jasmolin-1	ug/L	Jasmolin1_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Jasmolin-2	ug/L	Jasmolin2_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Jasmolin-1	ng/g dw	Jasmolin1_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Jasmolin-2	ng/g dw	Jasmolin2_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Permethrin, cis-"	ng/g dw	Permethrin_cis_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Permethrin, cis-"	ug/L	Permethrin_cis_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
