StationID_Master	ChemSampleID	SampDate	matrixname	StdParamName	ResultValue	ConvertTo	COMID	clust
403S01784	403S01784_modeledflow_algae	NA	flow_algae	HighDur_Dry	0.334406606	HighDur_Dry	17575785	5
403S01784	403S01784_modeledflow_bmi	NA	flow_bmi	HighNum	7.5	HighNum	17575785	5
403S01784	403S01784_modeledflow_algae	NA	flow_algae	HighNum_Dry	0.741597726	HighNum_Dry	17575785	5
403S01784	403S01784_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.405988952	MaxMonthQ	17575785	5
403S01784	403S01784_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	0.771795629	MaxMonthQ_Dry	17575785	5
403S01784	403S01784_modeledflow_bmi	NA	flow_bmi	NoDisturb	-111.5	NoDisturb	17575785	5
403S01784	403S01784_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	0.632964509	NoDisturb_Dry	17575785	5
403S01784	403S01784_modeledflow_bmi	NA	flow_bmi	Q99	9.656203448	Q99	17575785	5
403S01784	403S01784_modeledflow_algae	NA	flow_algae	Qmax_Dry	0.674317335	Qmax_Dry	17575785	5
403S01784	403S01784_modeledflow_bmi	NA	flow_bmi	QmaxIDR	3.197558	QmaxIDR	17575785	5
403S01784	403S01784_modeledflow_algae	NA	flow_algae	QmaxIDR_All	0.919918495	QmaxIDR_All	17575785	5
403S01784	403S01784_modeledflow_bmi	NA	flow_bmi	RBI	0.83011851	RBI	17575785	5
403S01883	403S01883_modeledflow_bmi	NA	flow_bmi	HighDur	-0.5	HighDur	17567221	5
403S01883	403S01883_modeledflow_algae	NA	flow_algae	HighDur_Dry	0.972763204	HighDur_Dry	17567221	5
403S01883	403S01883_modeledflow_bmi	NA	flow_bmi	HighNum	0.5	HighNum	17567221	5
403S01883	403S01883_modeledflow_algae	NA	flow_algae	HighNum_Dry	1	HighNum_Dry	17567221	5
403S01883	403S01883_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.004564049	MaxMonthQ	17567221	5
403S01883	403S01883_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	1	MaxMonthQ_Dry	17567221	5
403S01883	403S01883_modeledflow_bmi	NA	flow_bmi	NoDisturb	-229	NoDisturb	17567221	5
403S01883	403S01883_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	0.64891113	NoDisturb_Dry	17567221	5
403S01883	403S01883_modeledflow_bmi	NA	flow_bmi	Q99	0.000181717	Q99	17567221	5
403S01883	403S01883_modeledflow_algae	NA	flow_algae	Qmax_Dry	0.998926797	Qmax_Dry	17567221	5
403S01883	403S01883_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.11198316	QmaxIDR	17567221	5
403S01883	403S01883_modeledflow_algae	NA	flow_algae	QmaxIDR_All	0.998059514	QmaxIDR_All	17567221	5
403S01883	403S01883_modeledflow_bmi	NA	flow_bmi	RBI	0.013834884	RBI	17567221	5
403S02363	403S02363_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17567953	5
403S02363	403S02363_modeledflow_bmi	NA	flow_bmi	HighNum	0	HighNum	17567953	5
403S02363	403S02363_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.009091868	MaxMonthQ	17567953	5
403S02363	403S02363_modeledflow_bmi	NA	flow_bmi	NoDisturb	-74	NoDisturb	17567953	5
403S02363	403S02363_modeledflow_bmi	NA	flow_bmi	Q99	-0.00642474	Q99	17567953	5
403S02363	403S02363_modeledflow_bmi	NA	flow_bmi	QmaxIDR	0.0723613	QmaxIDR	17567953	5
403S02363	403S02363_modeledflow_bmi	NA	flow_bmi	RBI	0.00060339	RBI	17567953	5
403S02764	403S02764_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17574353	5
403S02764	403S02764_modeledflow_algae	NA	flow_algae	HighDur_Dry	0.996791816	HighDur_Dry	17574353	5
403S02764	403S02764_modeledflow_bmi	NA	flow_bmi	HighNum	0	HighNum	17574353	5
403S02764	403S02764_modeledflow_algae	NA	flow_algae	HighNum_Dry	1	HighNum_Dry	17574353	5
403S02764	403S02764_modeledflow_bmi	NA	flow_bmi	MaxMonthQ	0.077863591	MaxMonthQ	17574353	5
403S02764	403S02764_modeledflow_algae	NA	flow_algae	MaxMonthQ_Dry	1	MaxMonthQ_Dry	17574353	5
403S02764	403S02764_modeledflow_bmi	NA	flow_bmi	NoDisturb	-20.5	NoDisturb	17574353	5
403S02764	403S02764_modeledflow_algae	NA	flow_algae	NoDisturb_Dry	1	NoDisturb_Dry	17574353	5
403S02764	403S02764_modeledflow_bmi	NA	flow_bmi	Q99	0.74872648	Q99	17574353	5
403S02764	403S02764_modeledflow_algae	NA	flow_algae	Qmax_Dry	0.999488274	Qmax_Dry	17574353	5
403S02764	403S02764_modeledflow_bmi	NA	flow_bmi	QmaxIDR	-0.0532315	QmaxIDR	17574353	5
403S02764	403S02764_modeledflow_algae	NA	flow_algae	QmaxIDR_All	1	QmaxIDR_All	17574353	5
403S02764	403S02764_modeledflow_bmi	NA	flow_bmi	RBI	0.025596779	RBI	17574353	5
403S03643	403S03643_modeledflow_bmi	NA	flow_bmi	HighDur	0	HighDur	17567991	5
