StationID_Master	SampleID	CollDate	ConvertTo	ResultValue	MDLvalue	ResultQualCode	Description
403S06660	403S06660_6/14/2012_1	6/14/2012 0:00:00	Clay_LT0.0039mm_%	7.10	0.05	=	Detected value is equal to the value in the ResultValue field
403S06660	403S06660_6/14/2012_1	6/14/2012 0:00:00	Sand_0.0625LT2.0mm_%	40.30	0.05	=	Detected value is equal to the value in the ResultValue field
403S06660	403S06660_6/14/2012_1	6/14/2012 0:00:00	Silt_0.0039LT0.0625mm_%	52.40	0.05	=	Detected value is equal to the value in the ResultValue field
403S06660	403S06660_6/14/2012_2	6/14/2012 0:00:00	Clay_LT0.0039mm_%	7.00	0.05	=	Detected value is equal to the value in the ResultValue field
403S06660	403S06660_6/14/2012_2	6/14/2012 0:00:00	Sand_0.0625LT2.0mm_%	52.20	0.05	=	Detected value is equal to the value in the ResultValue field
403S06660	403S06660_6/14/2012_2	6/14/2012 0:00:00	Silt_0.0039LT0.0625mm_%	42.70	0.05	=	Detected value is equal to the value in the ResultValue field
403S06904	403S06904_6/9/2010_1	6/9/2010 0:00:00	Embeddedness	5.00		=	Detected value is equal to the value in the ResultValue field
403S06904	403S06904_6/9/2010_1	6/9/2010 0:00:00	EmbeddednessReach	30.60		=	Detected value is equal to the value in the ResultValue field
403S06904	403S06904_6/9/2010_1	6/9/2010 0:00:00	RiffleRunEpifaunalSubstrate	10.00		=	Detected value is equal to the value in the ResultValue field
403S06904	403S06904_6/9/2010_1	6/9/2010 0:00:00	RiffleRunSedDeposit	3.00		=	Detected value is equal to the value in the ResultValue field
403S06904	403S06904_6/9/2010_1	6/9/2010 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403S11084	403S11084_6/9/2010_1	6/9/2010 0:00:00	Embeddedness	45.00		=	Detected value is equal to the value in the ResultValue field
403S11084	403S11084_6/9/2010_1	6/9/2010 0:00:00	EmbeddednessReach	12.00		=	Detected value is equal to the value in the ResultValue field
403S11084	403S11084_6/9/2010_1	6/9/2010 0:00:00	RiffleRunEpifaunalSubstrate	13.00		=	Detected value is equal to the value in the ResultValue field
403S11084	403S11084_6/9/2010_1	6/9/2010 0:00:00	RiffleRunSedDeposit	7.00		=	Detected value is equal to the value in the ResultValue field
403S14156	403S14156_6/9/2009_1	6/9/2009 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403S15608	403S15608_6/8/2010_1	6/8/2010 0:00:00	Embeddedness	18.33		=	Detected value is equal to the value in the ResultValue field
403S15608	403S15608_6/8/2010_1	6/8/2010 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_1/13/2003_1	1/13/2003 0:00:00	Clay_LT0.005mm_%	12.81	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_1/13/2003_1	1/13/2003 0:00:00	Gravel_4.75LT75mm_%	0.57	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_1/13/2003_1	1/13/2003 0:00:00	Sand_Coarse2.0LT4.75mm_%	0.38	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_1/13/2003_1	1/13/2003 0:00:00	Sand_Fine0.075LT0.425mm_%	35.15	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_1/13/2003_1	1/13/2003 0:00:00	Sand_Med0.425LT2.0mm_%	44.16	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_1/13/2003_1	1/13/2003 0:00:00	Silt_0.005LT0.075mm_%	6.93	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_1/7/2007_1	1/7/2007 0:00:00	Fine_LT0.0625mm_%	20.74	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_10/31/2001_1	10/31/2001 0:00:00	Clay_LT0.005mm_%	4.00	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_10/31/2001_1	10/31/2001 0:00:00	Gravel_4.75LT75mm_%	0.73	-88.00	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_10/31/2001_1	10/31/2001 0:00:00	Sand_Coarse2.0LT4.75mm_%	4.96	-88.00	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_10/31/2001_1	10/31/2001 0:00:00	Sand_Fine0.075LT0.425mm_%	61.61	-88.00	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_10/31/2001_1	10/31/2001 0:00:00	Sand_Med0.425LT2.0mm_%	21.27	-88.00	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_10/31/2001_1	10/31/2001 0:00:00	Silt_0.005LT0.075mm_%	7.42	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_5/15/2012_1	5/15/2012 0:00:00	Clay_LT0.0039mm_%	17.40	0.05	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_5/15/2012_1	5/15/2012 0:00:00	Sand_0.0625LT2.0mm_%	19.50	0.05	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_5/15/2012_1	5/15/2012 0:00:00	Silt_0.0039LT0.0625mm_%	63.40	0.05	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_5/26/2010_1	5/26/2010 0:00:00	Clay_LT0.0039mm_%	13.10	0.05	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_5/26/2010_1	5/26/2010 0:00:00	Sand_0.0625LT2.0mm_%	31.90	0.05	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_5/26/2010_1	5/26/2010 0:00:00	Silt_0.0039LT0.0625mm_%	54.40	0.05	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_6/9/2011_1	6/9/2011 0:00:00	Clay_LT0.0039mm_%	16.80	0.05	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_6/9/2011_1	6/9/2011 0:00:00	Sand_0.0625LT2.0mm_%	24.10	0.05	=	Detected value is equal to the value in the ResultValue field
403STCBQT	403STCBQT_6/9/2011_1	6/9/2011 0:00:00	Silt_0.0039LT0.0625mm_%	58.70	0.05	=	Detected value is equal to the value in the ResultValue field
403STCBQU	403STCBQU_5/19/2008_1	5/19/2008 0:00:00	Clay_Coarse0.00195LT0.0039mm_%	4.68	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQU	403STCBQU_5/19/2008_1	5/19/2008 0:00:00	Clay_FineLT0.00098mm_%	10.59	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQU	403STCBQU_5/19/2008_1	5/19/2008 0:00:00	Clay_Medium0.00098LT0.00195mm_%	2.92	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQU	403STCBQU_5/19/2008_1	5/19/2008 0:00:00	Pebble_Small4LT8mm_%	0.00	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQU	403STCBQU_5/19/2008_1	5/19/2008 0:00:00	Sand_Coarse0.5LT1.0mm_%	1.23	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQU	403STCBQU_5/19/2008_1	5/19/2008 0:00:00	Sand_Fine0.125LT0.25mm_%	2.76	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQU	403STCBQU_5/19/2008_1	5/19/2008 0:00:00	Sand_Med0.25LT0.5mm_%	1.58	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQU	403STCBQU_5/19/2008_1	5/19/2008 0:00:00	Sand_VCoarse1.0LT2.0mm_%	0.67	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQU	403STCBQU_5/19/2008_1	5/19/2008 0:00:00	Sand_VFine0.0625LT0.125mm_%	7.96	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQU	403STCBQU_5/19/2008_1	5/19/2008 0:00:00	Silt_Coarse0.031LT0.0625mm_%	21.80	0.01	=	Detected value is equal to the value in the ResultValue field
403STCBQU	403STCBQU_5/19/2008_1	5/19/2008 0:00:00	Silt_Fine0.0078LT0.0156mm_%	13.86	0.01	=	Detected value is equal to the value in the ResultValue field
