"","sort(unique(names(data_CoOccur_CA)))"
"391","Fluorene_ng_g"
"392","Fluorenes_C1_ng_g"
"393","Fluorenes_C2_ng_g"
"394","Fluorenes_C3_ng_g"
"395","Fluvalinate_ng_g"
"396","Fluvalinate_uf_ng_L"
"397","Fonofos_ng_g"
"398","Fonofos_ppb"
"399","Group"
"400","Hardness_CaCO3_f_mg_L"
"401","Hardness_CaCO3_uf_mg_L"
"402","HCH_alpha._ng_g"
"403","HCH_beta_ng_g"
"404","HCH_delta_ng_g"
"405","HCH_gamma_ng_g"
"406","Heptachlor_epoxide_ng_g"
"407","Heptachlor_ng_g"
"408","Heptachlor_ppb"
"409","HeptachlorEpoxide_ppb"
"410","Hexachlorobenzene_ng_g"
"411","Hexachlorobenzene_ppb"
"412","Hg_f_ng_L"
"413","Hg_uf_mg_kg_FishTissue"
"414","Hg_uf_ng_L"
"415","HydroxideAlk_CaCO3_mg_L"
"416","Indeno.1.2.3.c.d.pyrene_ng_g"
"417","Jasmoline1_ng_g"
"418","Jasmoline2_ng_g"
"419","K_f_mg_L"
"420","K_uf_mg_L"
"421","Latitude"
"422","Leptophos_ppb"
"423","Longitude"
"424","Malathion_ng_g"
"425","Malathion_ug_L"
"426","MBAS_mg_L"
"427","MBAS_uf_mg_L"
"428","MeanAlkalinity"
"429","Merphos_ng_g"
"430","Methoxychlor_ng_g"
"431","Methoxychlor_ppb"
"432","Methyldibenzothiophene_4_ng_g"
"433","Methylfluoranthene_2_ng_g"
"434","Methylfluorene_1_ng_g"
"435","Methylnaphthalene_1_ng_g"
"436","Methylnaphthalene_2_ng_g"
"437","Methylphenanthrene_1_ng_g"
"438","Mevinphos_ng_g"
"439","Mevinphos_ppb"
"440","Mg_f_mg_L"
"441","Mg_uf_mg_L"
"442","Mirex_ng_g"
"443","Mirex_ppb"
"444","Molinate_ppb"
"445","Monobutyltin_Sn_ng_g"
"446","Na_f_mg_L"
"447","Na_uf_mg_L"
"448","Naled_ppb"
"449","Naphthalene_ng_g"
"450","Naphthalenes_C1_ng_g"
"451","Naphthalenes_C2_ng_g"
"452","Naphthalenes_C3_ng_g"
"453","Naphthalenes_C4_ng_g"
"454","NH3_N_f_mg_L"
"455","NH3_N_mg_kg_ww"
"456","NH3_N_uf_mg_L"
"457","Ni_f_mg_L"
"458","Ni_uf_mg_L"
"459","NO2_N_f_mg_L"
"460","NO2_N_uf_mg_L"
"461","NO2NO3_N_f_mg_L"
"462","NO2NO3_N_uf_mg_L"
"463","NO3_N_f_mg_L"
"464","NO3_N_uf_mg_L"
"465","Nonachlor_cis_ng_g"
"466","Nonachlor_trans_ng_g"
"467","O2Sat_uf_."
"468","Oil_Grease_mg_L"
"469","oPO4_P_f_mg_L"
"470","oPO4_P_uf_mg_L"
"471","Oxadiazon_ng_g"
"472","Oxadiazon_ppb"
"473","Oxychlordane_ng_g"
"474","PAHs_ng_g"
"475","Parathion_Ethyl_ng_g"
"476","Parathion_Methyl_ng_g"
"477","Pb_f_mg_L"
"478","Pb_uf_mg_L"
"479","PBDE017_ng_g"
"480","PBDE028_ng_g"
"481","PBDE047_ng_g"
"482","PBDE066_ng_g"
"483","PBDE085_ng_g"
"484","PBDE099_ng_g"
"485","PBDE100_ng_g"
"486","PBDE138_ng_g"
"487","PBDE153_ng_g"
"488","PBDE154_ng_g"
"489","PBDE183_ng_g"
"490","PBDE190_ng_g"
"491","PBDE209_ng_g"
"492","PCB_AROCLOR_1248_ng_g"
"493","PCB_AROCLOR_1254_ng_g"
"494","PCB_AROCLOR_1260_ng_g"
"495","PCB003_ng_g"
"496","PCB008_ng_g"
"497","PCB018_ng_g"
"498","PCB027_ng_g"
"499","PCB028_ng_g"
"500","PCB029_ng_g"
"501","PCB031_ng_g"
"502","PCB033_ng_g"
"503","PCB037_ng_g"
"504","PCB044_ng_g"
"505","PCB049_ng_g"
"506","PCB052_ng_g"
"507","PCB056_ng_g"
"508","PCB060_ng_g"
"509","PCB064_ng_g"
"510","PCB066_ng_g"
"511","PCB070_ng_g"
"512","PCB074_ng_g"
"513","PCB077_ng_g"
"514","PCB081_ng_g"
"515","PCB087_ng_g"
"516","PCB095_ng_g"
"517","PCB097_ng_g"
"518","PCB099_ng_g"
"519","PCB101_ng_g"
"520","PCB105_ng_g"
"521","PCB110_ng_g"
"522","PCB114_ng_g"
"523","PCB118_ng_g"
"524","PCB119_ng_g"
"525","PCB123_ng_g"
"526","PCB126_ng_g"
"527","PCB128_ng_g"
"528","PCB137_ng_g"
"529","PCB138_ng_g"
"530","PCB141_ng_g"
"531","PCB146_ng_g"
"532","PCB149_ng_g"
"533","PCB151_ng_g"
"534","PCB153_ng_g"
"535","PCB156_ng_g"
"536","PCB157_ng_g"
"537","PCB158_ng_g"
"538","PCB167_ng_g"
"539","PCB168_132_ng_g"
"540","PCB168_ng_g"
"541","PCB169_ng_g"
"542","PCB170_ng_g"
"543","PCB174_ng_g"
"544","PCB177_ng_g"
"545","PCB180_ng_g"
"546","PCB183_ng_g"
"547","PCB187_ng_g"
"548","PCB189_ng_g"
"549","PCB194_ng_g"
"550","PCB195_ng_g"
"551","PCB198_199_ng_g"
"552","PCB200_ng_g"
"553","PCB201_ng_g"
"554","PCB203_ng_g"
"555","PCB206_ng_g"
"556","PCB209_ng_g"
"557","Permethrin_cis_ng_g"
"558","Permethrin_ng_g"
"559","Permethrin_trans_ng_g"
"560","Perthane_ng_g"
"561","Perylene_ng_g"
"562","pH"
"563","Phenanthrene_ng_g"
"564","PhenanthreneAnthracene_C1_ng_g"
"565","PhenanthreneAnthracene_C2_ng_g"
"566","PhenanthreneAnthracene_C3_ng_g"
"567","PhenanthreneAnthracene_C4_ng_g"
"568","Phorate_ng_g"
"569","Phosphamidon_ng_g"
"570","Phosphamidon_ppb"
"571","PiperonylButoxide_ng_g"
"572","PO4_P_mg_kg"
"573","PO4_P_uf_mg_L"
"574","Prallethrin_ng_g"
"575","Prometon_ppb"
"576","Prometryn_ppb"
"577","Propazine_ppb"
"578","Prothiofos_ppb"
"579","Pyrene_ng_g"
"580","Pyrethrin1_ng_g"
"581","Pyrethrin2_ng_g"
"582","Resmethrin_ng_g"
"583","Ronnel_ppb"
"584","S_mg_kg"
"585","Salinity_uf_ppt"
"586","SampleDate"
"587","Sb_f_mg_L"
"588","Sb_uf_mg_L"
"589","Se_f_mg_L"
"590","Se_uf_mg_L"
"591","Secbumeton_ppb"
"592","Si_SiO2_f_mg_L"
"593","Si_SiO2_uf_mg_L"
"594","Simazine_ppb"
"595","Simetryn_ppb"
"596","SO4_f_mg_L"
"597","SO4_uf_mg_L"
"598","Solids_."
"599","Solids_mg_L"
"600","StationID_Master"
"601","Stream_Name"
"602","Sulfotep_ng_g"
"603","Sulfotep_ppb"
"604","Sulprofos_ppb"
"605","SuspSedConc_Particulate_mg_L"
"606","SWAMP_Station_Code"
"607","TDS_calc_mg_L"
"608","TDS_f_mg_L"
"609","Tedion_ng_g"
"610","Temp_degC"
"611","Temp_degF"
"612","Terbufos_ppb"
"613","Terbuthylazine_ppb"
"614","Terbutryn_ppb"
"615","Tetrachlorvinphos_ng_g"
"616","Tetrachlorvinphos_ppb"
"617","Tetradifon_ppb"
"618","Thiobencarb_ppb"
"619","Thionazin_ng_g"
"620","Thionazin_ppb"
"621","TKN_uf_mg_L"
"622","TN_mg_kg"
"623","TN_uf_mg_L"
"624","TOC_."
"625","TOC_uf_mg_L"
"626","Tokuthion_ng_g"
"627","Toxaphene_ng_g"
"628","TP_mg_L"
"629","TP_P_uf_mg_L"
"630","Tributyltin_Sn_ng_g"
"631","Trichloronate_ng_g"
"632","Trichlorophon_ppb"
"633","Trimethylnaphthalene_2.3.5_ng_g"
"634","TSS_uf_mg_L"
"635","Turb_NTU"
"636","Zn_f_mg_L"
"637","Zn_uf_mg_L"
"638","Erythromycin_H2O_uf_µg_L"
"639","Methoxychlor_uf_µg_L"
"640","Chlordene_trans_uf_µg_L"
"641","Endrin_Aldehyde_uf_µg_L"
"642","Sulfadimethoxine_uf_µg_L"
"643","Chlorpyrifos_methyl_uf_µg_L"
"644","Bromodichloromethane_uf_µg_L"
"645","Chrysenes_C1_uf_µg_L"
"646","MicrocystinLY_Particulate_µg_L"
"647","MicrocystinRR_uf_µg_L"
"648","Ag_uf_µg_L"
"649","Methylnaphthalene_2_uf_µg_L"
"650","Carbophenothion_uf_µg_L"
"651","Dieldrin_uf_µg_L"
"652","Dichloropropane_22_uf_µg_L"
"653","Acenaphthene_uf_µg_L"
"654","PCB141_uf_µg_L"
"655","Atraton_uf_µg_L"
"656","Ethion_uf_µg_L"
"657","Anthracene_uf_µg_L"
"658","Endosulfan_sulfate_uf_µg_L"
"659","DesmethylLR_Particulate_µg_L"
"660","DDT.o.p.._uf_µg_L"
"661","DomoicAcid_uf_µg_L"
"662","Dibromoethane_12_uf_µg_L"
"663","DomoicAcid_Particulate_µg_L"
"664","Al_uf_µg_L"
"665","Chrysenes_C2_uf_µg_L"
"666","Endrin_uf_µg_L"
"667","Dibenz.a.h.anthracene_uf_µg_L"
"668","Molinate_uf_µg_L"
"669","Ag_f_µg_L"
"670","Carbamazepine_uf_µg_L"
"671","EsfenvalerateFenvalerate2_uf_µg_L"
"672","MicrocystinLA_Particulate_µg_L"
"673","EsfenvalerateFenvalerate1_uf_µg_L"
"674","Allethrin_uf_µg_L"
"675","Chlordene_cis_uf_µg_L"
"676","Chlorobenzene_uf_µg_L"
"677","Trichloroethane_111_uf_µg_L"
"678","Estradiol_17beta_uf_µg_L"
"679","Benz.a.anthracene_uf_µg_L"
"680","Dibromo.3.Chloropropane_1.2..DBCP._uf_µg_L"
"681","Chlordene_gamma_uf_µg_L"
"682","Chlorotoluene_2_uf_µg_L"
"683","Chloroform_uf_µg_L"
"684","Chlorpyrifos_uf_µg_L"
"685","Chlordene_alpha_uf_µg_L"
"686","Chrysene_uf_µg_L"
"687","Fluoxetine_uf_µg_L"
"688","Acenaphthylene_uf_µg_L"
"689","Chlorotoluene_4_uf_µg_L"
"690","Chlortetracycline_uf_µg_L"
"691","Endosulfan_I_uf_µg_L"
"692","Danitol_uf_µg_L"
"693","MTBE_uf_µg_L"
"694","AnatoxinA_uf_µg_L"
"695","Azinphos.methyl_uf_µg_L"
"696","Azinphos.ethyl_uf_µg_L"
"697","Chlordane_cis_uf_µg_L"
"698","Carbadox_uf_µg_L"
"699","Caffeine_uf_µg_L"
"700","Cd_µg_g"
"701","DDE.o.p.._uf_µg_L"
"702","Dacthal_uf_µg_L"
"703","Chlordane_trans_uf_µg_L"
"704","Nodularin_Particulate_µg_L"
"705","DDD.o.p.._uf_µg_L"
"706","Dichloropropane_12_uf_µg_L"
"707","DDE.p.p.._uf_µg_L"
"708","MicrocystinYR_uf_µg_L"
"709","DDT.p.p.._uf_µg_L"
"710","Chlor_a_Particulate_µg_L"
"711","DDD.p.p.._uf_µg_L"
"712","Chlorpyrifos_µg_L"
"713","DDMU.p.p.._uf_µg_L"
"714","Bromoform_uf_µg_L"
