"STATION_CD"	"STATION_NAME"	"COMID"	"STATION_RID"	"HUC12"	"COUNTY_NAME"	"STATION_TYPE"	"LATITUDE"	"LONGITUDE"	"UTM_EAST"	"UTM_NORTH"	"UTM_ZONE"	"Elevation"	"ReferenceStatus"	"Year"
"VRVER115.29"	110063	20454254	2500	15060202	"YAVAPAI"	"Stream"	34.575302	-111.866541	420519	3826288	"12N"	NA	NA	NA
"VRVER115.33"	104144	20454268	1839	15060202	"YAVAPAI"	"Stream"	34.573093	-111.857301	421365	3826036	"12N"	NA	NA	NA
"VRVER116.65"	111470	20454268	61698	15060202	"YAVAPAI"	"Stream"	34.573275	-111.855919	421492	3826055	"12N"	NA	NA	NA
"VRVER117.07"	100484	20454256	280	15060202	"YAVAPAI"	"Stream"	34.586944	-111.878278	419454	3827589	"12N"	NA	NA	NA
"VRVER117.46"	104149	20454248	1844	15060202	"YAVAPAI"	"Stream"	34.589722	-111.884722	418866	3827902	"12N"	NA	NA	NA
"VRVER118.26"	110064	20454226	2501	15060202	"YAVAPAI"	"Stream"	34.607246	-111.877653	419531	3829840	"12N"	NA	NA	NA
"VRVER118.73"	111469	20454256	61697	15060202	"YAVAPAI"	"Stream"	34.586628	-111.880358	419263	3827555	"12N"	NA	NA	NA
"VRVER120.80"	110065	20454176	2502	15060202	"YAVAPAI"	"Stream"	34.622778	-111.899722	417523	3831580	"12N"	NA	NA	NA
"VRVER121.49"	100718	20454176	400	15060202	"YAVAPAI"	"Stream"	34.625306	-111.899972	417502	3831860	"12N"	3195	NA	NA
"VRVER121.99"	104119	20454136	1830	15060202	"YAVAPAI"	"Stream"	34.631389	-111.896944	417786	3832532	"12N"	NA	NA	NA
"VRVER123.65"	110066	20454094	2503	15060202	"YAVAPAI"	"Stream"	34.638356	-111.92571	415156	3833329	"12N"	NA	NA	NA
"VRVER124.79"	104160	20454076	1849	15060202	"YAVAPAI"	"Stream"	34.645278	-111.932778	414515	3834102	"12N"	NA	NA	NA
"VRVER127.02"	100481	20453966	754	15060202	"YAVAPAI"	"Stream"	34.675232	-111.939479	413932	3837430	"12N"	3053	NA	NA
"VRVER127.47"	110067	20453946	2504	15060202	"YAVAPAI"	"Stream"	34.673911	-111.947933	413156	3837291	"12N"	NA	NA	NA
"VRVER128.44"	111449	20453966	61624	15060202	"YAVAPAI"	"Stream"	34.675125	-111.939219	413956	3837418	"12N"	NA	NA	NA
"VRVER128.63"	103180	20453946	1500	15060202	"YAVAPAI"	"Stream"	34.679306	-111.953472	412655	3837894	"12N"	NA	NA	NA
"VRVER128.70"	111448	20453922	61623	15060202	"YAVAPAI"	"Stream"	34.678119	-111.941419	413757	3837752	"12N"	NA	NA	NA
"VRVER128.89"	111447	20453946	61622	15060202	"YAVAPAI"	"Stream"	34.679528	-111.944219	413502	3837910	"12N"	NA	NA	NA
"VRVER128.90"	110068	20453876	2505	15060202	"YAVAPAI"	"Stream"	34.685022	-111.963767	411718	3838537	"12N"	NA	NA	NA
"VRVER129.75"	109182	20453842	2423	15060202	"YAVAPAI"	"Stream"	34.690389	-111.96575	411542	3839134	"12N"	NA	NA	NA
"VRVER130.84"	110069	20453842	2506	15060202	"YAVAPAI"	"Stream"	34.699466	-111.961822	411911	3840137	"12N"	NA	NA	NA
"VRVER131.23"	111446	20453876	61621	15060202	"YAVAPAI"	"Stream"	34.689661	-111.965769	411539	3839053	"12N"	NA	NA	NA
"VRVER132.59"	100483	20453806	279	15060202	"YAVAPAI"	"Stream"	34.707639	-111.975556	410662	3841055	"12N"	NA	NA	NA
"VRVER132.62"	110070	20453784	2507	15060202	"YAVAPAI"	"Stream"	34.70891	-111.985156	409784	3841205	"12N"	NA	NA	NA
"VRVER134.74"	110071	20453756	2508	15060202	"YAVAPAI"	"Stream"	34.734465	-112.000712	408388	3844053	"12N"	NA	NA	NA
"VRVER135.01"	110072	20454480	2509	15060202	"YAVAPAI"	"Stream"	34.73891	-111.999323	408520	3844544	"12N"	NA	NA	NA
"VRVER135.71"	111445	20453756	61620	15060202	"YAVAPAI"	"Stream"	34.720711	-111.990594	409299	3842518	"12N"	NA	NA	NA
"VRVER135.78"	101828	20453756	934	15060202	"YAVAPAI"	"Stream"	34.721667	-111.990556	409304	3842624	"12N"	NA	NA	NA
"VRVER135.98"	110166	20453756	2524	15060202	"YAVAPAI"	"Stream"	34.724188	-111.992101	409165	3842905	"12N"	NA	NA	NA
"VRVER136.05"	110103	20451742	2514	15060202	"YAVAPAI"	"Stream"	34.751132	-112.001546	408330	3845902	"12N"	NA	NA	NA
"VRVER136.21"	111475	20453756	61704	15060202	"YAVAPAI"	"Stream"	34.727222	-111.993333	409055	3843243	"12N"	NA	NA	NA
"VRVER136.57"	110073	20452620	2510	15060202	"YAVAPAI"	"Stream"	34.749465	-112.009324	407616	3845724	"12N"	NA	NA	NA
"VRVER136.60"	110074	20452620	2511	15060202	"YAVAPAI"	"Stream"	34.749465	-112.009879	407565	3845725	"12N"	NA	NA	NA
"VRVER136.79"	111450	20453756	61625	15060202	"YAVAPAI"	"Stream"	34.732694	-111.999583	408489	3843855	"12N"	NA	NA	NA
"VRVER136.93"	110104	20452618	2515	15060202	"YAVAPAI"	"Stream"	34.751132	-112.016268	406982	3845915	"12N"	NA	NA	NA
"VRVER137.53"	101545	20452618	820	15060202	"YAVAPAI"	"Stream"	34.751389	-112.0175	406870	3845945	"12N"	3280	NA	NA
"VRVER137.75"	101544	20452618	819	15060202	"YAVAPAI"	"Stream"	34.75	-112.021111	406538	3845794	"12N"	3320	NA	NA
"VRVER137.80"	100482	20452618	753	15060202	"YAVAPAI"	"Stream"	34.749889	-112.021972	406459	3845783	"12N"	3280	NA	NA
"VRVER138.38"	111444	20451742	61619	15060202	"YAVAPAI"	"Stream"	34.751161	-112.001225	408359	3845905	"12N"	NA	NA	NA
"VRVER139.37"	110105	20451706	2516	15060202	"YAVAPAI"	"Stream"	34.766132	-112.02738	405982	3847589	"12N"	NA	NA	NA
"VRVER139.89"	111443	20452616	61618	15060202	"YAVAPAI"	"Stream"	34.752117	-112.024578	406223	3846032	"12N"	NA	NA	NA
"VRVER139.99"	101546	20451706	1013	15060202	"YAVAPAI"	"Stream"	34.765833	-112.030278	405717	3847559	"12N"	NA	NA	NA
"VRVER140.64"	101547	20451706	821	15060202	"YAVAPAI"	"Stream"	34.767222	-112.040833	404752	3847723	"12N"	3350	NA	NA
"VRVER140.76"	101548	20451706	822	15060202	"YAVAPAI"	"Stream"	34.769444	-112.041111	404729	3847969	"12N"	NA	NA	NA
"VRVER140.94"	101549	20451698	823	15060202	"YAVAPAI"	"Stream"	34.771667	-112.044444	404427	3848219	"12N"	NA	NA	NA
"VRVER141.04"	110165	20451684	2523	15060202	"YAVAPAI"	"Stream"	34.777778	-112.048889	404027	3848901	"12N"	NA	NA	NA
"VRVER141.70"	101550	20451662	824	15060202	"YAVAPAI"	"Stream"	34.780556	-112.049444	403980	3849210	"12N"	NA	NA	NA
"VRVER141.75"	111442	20451706	61617	15060202	"YAVAPAI"	"Stream"	34.765122	-112.028908	405841	3847479	"12N"	NA	NA	NA
"VRVER142.16"	101551	20451662	1014	15060202	"YAVAPAI"	"Stream"	34.786389	-112.051667	403783	3849859	"12N"	NA	NA	NA
"VRVER142.43"	111441	20451706	61616	15060202	"YAVAPAI"	"Stream"	34.767042	-112.039694	404856	3847702	"12N"	NA	NA	NA
"VRVER142.73"	110122	20451662	2517	15060202	"YAVAPAI"	"Stream"	34.79502	-112.059326	403092	3850823	"12N"	NA	NA	NA
"VRVER142.88"	111440	20451698	61615	15060202	"YAVAPAI"	"Stream"	34.771936	-112.04425	404445	3848249	"12N"	NA	NA	NA
"VRVER143.29"	101552	20451662	825	15060202	"YAVAPAI"	"Stream"	34.795556	-112.058333	403184	3850882	"12N"	NA	NA	NA
"VRVER143.52"	111439	20451684	61614	15060202	"YAVAPAI"	"Stream"	34.779878	-112.049322	403990	3849134	"12N"	NA	NA	NA
"VRVER143.79"	111438	20451662	61613	15060202	"YAVAPAI"	"Stream"	34.783247	-112.049903	403941	3849509	"12N"	NA	NA	NA
"VRVER144.71"	111437	20451662	61612	15060202	"YAVAPAI"	"Stream"	34.790744	-112.060756	402957	3850350	"12N"	NA	NA	NA
"VRVER145.23"	111436	20451662	61611	15060202	"YAVAPAI"	"Stream"	34.796719	-112.057269	403282	3851010	"12N"	NA	NA	NA
"VRVER145.93"	106079	20452568	2098	15060202	"YAVAPAI"	"Stream"	34.808778	-112.056	403413	3852346	"12N"	NA	NA	NA
"VRVER146.91"	111435	20451616	61610	15060202	"YAVAPAI"	"Stream"	34.802242	-112.043936	404509	3851609	"12N"	NA	NA	NA
"VRVER146.91"	101553	20451586	826	15060202	"YAVAPAI"	"Stream"	34.821944	-112.064722	402630	3853814	"12N"	NA	NA	NA
"VRVER147.16"	111434	20452568	61609	15060202	"YAVAPAI"	"Stream"	34.801933	-112.048014	404135	3851579	"12N"	NA	NA	NA
"VRVER147.23"	101554	20451552	827	15060202	"YAVAPAI"	"Stream"	34.825556	-112.064444	402660	3854215	"12N"	NA	NA	NA
"VRVER148.22"	110142	20451524	2519	15060202	"YAVAPAI"	"Stream"	34.834464	-112.049049	404078	3855188	"12N"	NA	NA	NA
"VRVER149.10"	111433	20451552	61608	15060202	"YAVAPAI"	"Stream"	34.823942	-112.065458	402565	3854037	"12N"	NA	NA	NA
"VRVER150.52"	100478	20452548	276	15060202	"YAVAPAI"	"Stream"	34.851139	-112.064083	402723	3857051	"12N"	NA	NA	NA
"VRVER150.65"	100738	20452548	410	15060202	"YAVAPAI"	"Stream"	34.851389	-112.066111	402538	3857081	"12N"	NA	NA	NA
"VRVER151.95"	101555	20451480	828	15060202	"YAVAPAI"	"Stream"	34.857778	-112.073333	401885	3857797	"12N"	NA	NA	NA
"VRVER152.73"	101559	20451466	832	15060202	"YAVAPAI"	"Stream"	34.864444	-112.083306	400982	3858546	"12N"	NA	NA	NA
"VRVER154.07"	104319	20451468	1877	15060202	"YAVAPAI"	"Stream"	34.8675	-112.101667	399307	3858903	"12N"	NA	NA	NA
"VRVER154.70"	101562	20451430	834	15060202	"YAVAPAI"	"Stream"	34.870833	-112.111111	398448	3859282	"12N"	NA	NA	NA
"VRVER155.91"	104161	20452532	1850	15060202	"YAVAPAI"	"Stream"	34.875556	-112.131111	396626	3859826	"12N"	NA	NA	NA
"VRVER157.28"	110163	20451344	2521	15060202	"YAVAPAI"	"Stream"	34.890019	-112.139608	395868	3861439	"12N"	NA	NA	NA
"VRVER159.89"	101565	20451414	1186	15060202	"YAVAPAI"	"Stream"	34.879167	-112.158056	394168	3860255	"12N"	NA	NA	NA
