"HUC08"	"Region"	"RegionName"	"WaterbodyName"	"WBID"	"Category"	"Impairments"	"Exceedances"	"Pollutant"	"PollutantCategory"	"EstimatedSizeAffected"	"Unit"	"WaterbodyType"	"WBType"	"ReachCode"	"Year"	"PotentialSources"	"SourceCategory"	"COMID"	"Comments"
"14070006"	"CG"	"Colorado-Grand Canyon"	"COLORADO RIVER/Glen Canyon Dam - Lees Ferry/1"	"14070006-001"	"Category 1"	"DWS-Attaining • FC-Attaining • BC-Attaining/AGI-Attaining • AGL-Attaining • AW-Attaining"	"Dissolved Oxygen"	"Dissolved Oxygen"	NA	16.9	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"14070007"	"CG"	"Colorado-Grand Canyon"	"PARIA RIVER/Paria River, Utah border - Colorado River/1"	"14070007-123"	"Category 5"	"FC-Inconclusive • BC-Impaired • AW-Impaired"	NA	NA	NA	29.426	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	18267741	"CGPAR001.62"
"14070007"	"CG"	"Colorado-Grand Canyon"	"PARIA RIVER/Paria River, Utah border - Colorado River/1"	"14070007-123"	"Category 5"	"FC-Inconclusive • BC-Impaired • AW-Impaired"	NA	NA	NA	29.426	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	18267741	"CGPAR000.49"
"15010001"	NA	NA	"COLORADO RIVER/Unnamed Trib @ 360554.796/1120435.253 - Bright Angel Creek/1"	"15010001-001"	"Category 3"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGI-Inconclusive • AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	1.06	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15010002"	"CG"	"Colorado-Grand Canyon"	"COLORADO RIVER/Parashant Canyon - Diamond Creek/1"	"15010002-003"	"Category 5"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGI-Attaining • AGL-Attaining • AW-Impaired"	"Selenium and SSC (2004)"	"Selenium and SSC (2004)"	NA	27.621	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15010003"	"CG"	"Colorado-Grand Canyon"	"KANAB CREEK/Jump - up Canyon - Colorado River/1"	"15010003-001"	"Category 5"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGL-Inconclusive • AW-Impaired"	"Add selenium to the 303(d) list."	"Add selenium to the 303(d) list."	NA	12.769	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20709491	"CGKAN000.26"
"15010003"	"CG"	"Colorado-Grand Canyon"	"KANAB CREEK/Johnson Wash - Jacob Canyon/1"	"15010003-013"	"Category 3"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	4.238	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15010004"	NA	NA	"HAVASU CREEK/Unnamed Trib @ 36°18’02”/112°45’14” - Colorado River/1"	"15010004-001B"	"Category 3"	"FC-Inconclusive • BC-Inconclusive • AW-Inconclusive"	"Selenium (dissolved)"	"Selenium (dissolved)"	NA	0.87	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15010010"	"CG"	"Colorado-Grand Canyon"	"VIRGIN RIVER/Beaver Dam Wash - Sand Hollow Wash/1"	"15010010-003"	"Category 5"	"FC-Inconclusive • BC-Impaired • AGI-Inconclusive/AGL-Inconclusive • AW-Impaired"	"Selenium (dissolved)"	"Selenium (dissolved)"	NA	8.56	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15010010"	"CG"	"Colorado-Grand Canyon"	"VIRGIN RIVER/Sullivans Canyon - Beaver Dam Wash/1"	"15010010-004"	"Category 5"	"FC-Attaining • BC-Attaining • AGI-Inconclusive/AGL-Attaining • AW-Impaired"	"Selenium (2012)"	"Selenium (2012)"	NA	9.734	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	4916176	"CGVGR044.58"
"15010010"	"CG"	"Colorado-Grand Canyon"	"VIRGIN RIVER/Sullivans Canyon - Beaver Dam Wash/1"	"15010010-004"	"Category 5"	"FC-Attaining • BC-Attaining • AGI-Inconclusive/AGL-Attaining • AW-Impaired"	"Selenium (2012)"	"Selenium (2012)"	NA	9.734	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	4916218	"CGVGR039.41"
"15010010"	"CG"	"Colorado-Grand Canyon"	"VIRGIN RIVER/Black Rock Gulch - Sullivans Canyon/1"	"15010010-006"	"Category 3"	"FC-Inconclusive • BC-Inconclusive • AGI-Inconclusive AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	10.282	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	4916124	"CGVGR052.23"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/Coyote Creek - Lyman Lake/1"	"15020001-005"	"Category 4"	"FC-Attaining • BC-Inconclusive • AGI-Attaining/AGL-Attaining • AW-NotAttaining"	"Turbidity / SSC (1998)"	"Turbidity / SSC (1998)"	NA	3.427	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585692	"LCLCR323.60"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/Carnero Creek - Coyote Creek/1"	"15020001-007"	"Category 3"	"FC-Inconclusive • BC-Inconclusive • AGI-Inconclusive AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	3.079	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/Nutrioso Creek - Carnero Creek/1"	"15020001-009"	"Category 4"	"FC-Attaining • BC-Inconclusive • AGI-Attaining/AGL-Attaining • AW-NotAttaining"	"Turbidity / SSC (1998)"	"Turbidity / SSC (1998)"	NA	12.108	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20584806	"LCLCR336.72"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/Nutrioso Creek - Carnero Creek/1"	"15020001-009"	"Category 4"	"FC-Attaining • BC-Inconclusive • AGI-Attaining/AGL-Attaining • AW-NotAttaining"	"Turbidity / SSC (1998)"	"Turbidity / SSC (1998)"	NA	12.108	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20584904	"LCLCR337.67"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/Nutrioso Creek - Carnero Creek/1"	"15020001-009"	"Category 4"	"FC-Attaining • BC-Inconclusive • AGI-Attaining/AGL-Attaining • AW-NotAttaining"	"Turbidity / SSC (1998)"	"Turbidity / SSC (1998)"	NA	12.108	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20584904	"LCLCR340.02"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/Water Canyon - Nutrioso Creek/1"	"15020001-010"	"Category 4"	"FC-Inconclusive • BC-Inconclusive • AGI-Inconclusive AGL-Inconclusive • AW-NotAttaining"	"Turbidity / SSC (1998)"	"Turbidity / SSC (1998)"	NA	3.801	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585020	"LCLCR342.03"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/West Fork Little Colorado -Water Canyon/1"	"15020001-011"	"Category 4"	"FC-Inconclusive • BC-Inconclusive • AGI-Inconclusive AGL-Inconclusive • AW-NotAttaining"	NA	NA	NA	19.776	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585124	"LCLCR350.32"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/West Fork Little Colorado -Water Canyon/1"	"15020001-011"	"Category 4"	"FC-Inconclusive • BC-Inconclusive • AGI-Inconclusive AGL-Inconclusive • AW-NotAttaining"	NA	NA	NA	19.776	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585164	"LCLCR352.57"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/West Fork Little Colorado -Water Canyon/1"	"15020001-011"	"Category 4"	"FC-Inconclusive • BC-Inconclusive • AGI-Inconclusive AGL-Inconclusive • AW-NotAttaining"	NA	NA	NA	19.776	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585388	"LCLCR360.06"
"15020001"	"LC"	"Little Colorado"	"HALL CREEK/Headwaters - Little Colorado River/1"	"15020001-012"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	14.304	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20586742	"LCHAL010.20"
"15020001"	"LC"	"Little Colorado"	"HALL CREEK/Headwaters - Little Colorado River/1"	"15020001-012"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	14.304	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585810	"LCHAL005.62"
"15020001"	"LC"	"Little Colorado"	"HALL CREEK/Headwaters - Little Colorado River/1"	"15020001-012"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	14.304	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20586742	"LCHAL008.83"
"15020001"	"LC"	"Little Colorado"	"HALL CREEK/Headwaters - Little Colorado River/1"	"15020001-012"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	14.304	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585810	"LCHAL004.59"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO WEST FORK/Headwaters - Government Springs/1"	"15020001-013A"	"Category 2"	"FC-Attaining • BC-Attaining • AW-Inconclusive"	NA	NA	NA	9.075	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20586780	"LCWLR007.37"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO WEST FORK/Headwaters - Government Springs/1"	"15020001-013A"	"Category 2"	"FC-Attaining • BC-Attaining • AW-Inconclusive"	NA	NA	NA	9.075	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20586666	"LCWLR001.23"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO WEST FORK/Headwaters - Government Springs/1"	"15020001-013A"	"Category 2"	"FC-Attaining • BC-Attaining • AW-Inconclusive"	NA	NA	NA	9.075	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20587036	"LCWLR004.09"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO WEST FORK/Headwaters - Government Springs/1"	"15020001-013A"	"Category 2"	"FC-Attaining • BC-Attaining • AW-Inconclusive"	NA	NA	NA	9.075	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20587036	"LCWLR005.31"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO WEST FORK/Government Springs - Little Colorado River/1"	"15020001-013B"	"Category 2"	"FC-Attaining • BC-Attaining • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	2.226	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20586666	"LCWLR000.92"
"15020001"	"LC"	"Little Colorado"	"NUTRIOSO CREEK/Picnic Creek - Little Colorado River/1"	"15020001-015"	"Category 4"	"FC-Inconclusive • BC-Inconclusive • AGI-Inconclusive/AGL-Inconclusive • AW-NotAttaining"	"Turbidity/SSC (1998)"	"Turbidity/SSC (1998)"	NA	3.461	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15020001"	"LC"	"Little Colorado"	"NUTRIOSO CREEK/ Headwaters - Nelson Reservoir/1"	"15020001-017A"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	"Copper (dissolved)"	"Copper (dissolved)"	NA	13.3	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20586814	"LCNUT025.35"
"15020001"	"LC"	"Little Colorado"	"NUTRIOSO CREEK/ Headwaters - Nelson Reservoir/1"	"15020001-017A"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	"Copper (dissolved)"	"Copper (dissolved)"	NA	13.3	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20586814	"LCNUT026.83"
"15020001"	"LC"	"Little Colorado"	"NUTRIOSO CREEK/ Headwaters - Nelson Reservoir/1"	"15020001-017A"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	"Copper (dissolved)"	"Copper (dissolved)"	NA	13.3	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20586674	"LCNUT020.72"
"15020001"	"LC"	"Little Colorado"	"NUTRIOSO CREEK/ Headwaters - Nelson Reservoir/1"	"15020001-017A"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	"Copper (dissolved)"	"Copper (dissolved)"	NA	13.3	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20586674	"LCNUT020.23"
"15020001"	"LC"	"Little Colorado"	"NUTRIOSO CREEK/Nelson Reservoir - Picnic Creek/1"	"15020001-017B"	"Category 4"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-NotAttaining"	"Turbidity/SSC (1998)"	"Turbidity/SSC (1998)"	NA	13.5	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585142	"LCNUT011.29"
"15020001"	"LC"	"Little Colorado"	"RUDD CREEK/Headwaters - Nutrioso Creek/1"	"15020001-026"	"Category 3"	"FC-Inconclusive • BC-Inconclusive • AGL-Inconclusive AW-Inconclusive"	"Copper (dissolved)"	"Copper (dissolved)"	NA	10.585	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585274	"LCRUD003.45"
"15020001"	"LC"	"Little Colorado"	"RUDD CREEK/Headwaters - Nutrioso Creek/1"	"15020001-026"	"Category 3"	"FC-Inconclusive • BC-Inconclusive • AGL-Inconclusive AW-Inconclusive"	"Copper (dissolved)"	"Copper (dissolved)"	NA	10.585	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585396	"LCRUD007.23"
"15020001"	"LC"	"Little Colorado"	"RUDD CREEK/Headwaters - Nutrioso Creek/1"	"15020001-026"	"Category 3"	"FC-Inconclusive • BC-Inconclusive • AGL-Inconclusive AW-Inconclusive"	"Copper (dissolved)"	"Copper (dissolved)"	NA	10.585	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585396	"LCRUD008.43"
"15020001"	"LC"	"Little Colorado"	"South Fork Little Colorado/Headwaters - Little Colorado River/1"	"15020001-027"	"Category 2"	"FC-Attaining • BC-Inconclusive • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	11.935	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585250	"LCSLR003.72"
"15020001"	"LC"	"Little Colorado"	"South Fork Little Colorado/Headwaters - Little Colorado River/1"	"15020001-027"	"Category 2"	"FC-Attaining • BC-Inconclusive • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	11.935	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585206	"LCSLR001.42"
"15020001"	"LC"	"Little Colorado"	"ROSEY CREEK/Headwaters - Benny Creek @ 34 02’28.72”/109 27’24.3”/1"	"15020001-222"	"Category 2"	"FC-Attaining • BC-Attaining • AW-Inconclusive"	NA	NA	NA	3.059	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585342	"LCROS000.25"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO EAST FORK/Headwaters - Little Colorado River/1"	"15020001-230"	"Category 2"	"FC-Attaining • BC-Attaining • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	10.597	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20585432	"LCELR000.13"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO EAST FORK/Headwaters - Little Colorado River/1"	"15020001-230"	"Category 2"	"FC-Attaining • BC-Attaining • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	10.597	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20587040	"LCELR008.70"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO EAST FORK/Headwaters - Little Colorado River/1"	"15020001-230"	"Category 2"	"FC-Attaining • BC-Attaining • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	10.597	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20587040	"LCELR007.74"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO EAST FORK/Headwaters - Little Colorado River/1"	"15020001-230"	"Category 2"	"FC-Attaining • BC-Attaining • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	10.597	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20586678	"LCELR000.99"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO EAST FORK/Headwaters - Little Colorado River/1"	"15020001-230"	"Category 2"	"FC-Attaining • BC-Attaining • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	10.597	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20587040	"LCELR007.19"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO EAST FORK/Headwaters - Little Colorado River/1"	"15020001-230"	"Category 2"	"FC-Attaining • BC-Attaining • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	10.597	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20586752	"LCELR005.67"
"15020001"	"LC"	"Little Colorado"	"LEE VALLEY CREEK/Headwaters - Lee Valley Reservoir/1"	"15020001-232A"	"Category 3"	"FC-Inconclusive • BC-Inconclusive • AW-Inconclusive"	NA	NA	NA	1.6	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20586786	"LCLVL001.32"
"15020001"	"LC"	"Little Colorado"	"COLTER CREEK/Headwaters - Nutrioso Creek/1"	"15020001-293"	"Category 3"	"FC-Inconclusive • BC-Inconclusive • AGL-Inconclusive AW-Inconclusive"	NA	NA	NA	8.578	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	20587034	"LCCOL003.03"
"15020002"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/Silver Creek - Carr L Wash/1"	"15020002-004"	"Category 4"	"DWS-Inconclusive • FC-Inconclusive • BC-NotAttaining AGI-Inconclusive • AGL-Inconclusive • AW-NotAttaining"	"SSC (2006/8) and E. coli (2004)"	"SSC (2006/8) and E. coli (2004)"	NA	6.067	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15020002"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/Milky Wash - Silver Creek/1"	"15020002-005"	"Category 3"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGI-Inconclusive • AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	16.499	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15020002"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/reach 15020002-025 - Big Hollow Wash/1"	"15020002-023"	"Category 3"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGI-Inconclusive • AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	16.308	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15020002"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/HUC 15020001 boundary - reach 15020002-025/1"	"15020002-024"	"Category 3"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGI-Inconclusive • AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	13.866	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21762056	"LCLCR311.31"
"15020005"	"LC"	"Little Colorado"	"SILVER CREEK/SevenMilesDr - Little Colorado River/1"	"15020005-001"	"Category 3"	"FC-Inconclusive • BC-Inconclusive • AGI-Inconclusive/AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	9.28	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15020005"	"LC"	"Little Colorado"	"SILVER CREEK/Show Low Creek - Cottonwood/1"	"15020005-009"	"Category 2"	"FC-Attaining • BC-Inconclusive • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	10.684	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21754668	"LCSIL027.05"
"15020005"	"LC"	"Little Colorado"	"SHOW LOW CREEK/Headwaters - Linden Wash/1"	"15020005-012"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	19.51	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21756096	"LCSHL031.05"
"15020005"	"LC"	"Little Colorado"	"SHOW LOW CREEK/Headwaters - Linden Wash/1"	"15020005-012"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	19.51	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21755158	"LCSHL026.50"
"15020005"	"LC"	"Little Colorado"	"SHOW LOW CREEK/Headwaters - Linden Wash/1"	"15020005-012"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	19.51	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21755168	"LCSHL026.96"
"15020005"	"LC"	"Little Colorado"	"SHOW LOW CREEK/Headwaters - Linden Wash/1"	"15020005-012"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	19.51	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21756096	"LCSHL029.75"
"15020005"	"LC"	"Little Colorado"	"SILVER CREEK/Headwaters - Show Low Creek/1"	"15020005-013"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	33.615	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21755918	"LCSIL043.84"
"15020005"	"LC"	"Little Colorado"	"SILVER CREEK/Headwaters - Show Low Creek/1"	"15020005-013"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	33.615	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21755914	"LCSIL041.04"
"15020005"	"LC"	"Little Colorado"	"SILVER CREEK/Headwaters - Show Low Creek/1"	"15020005-013"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	33.615	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21755928	"LCSIL043.30"
"15020005"	"LC"	"Little Colorado"	"BILLY CREEK/Headwaters - Show Low Creek/1"	"15020005-019"	"Category 2"	"FC-Attaining • BC-Attaining • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	7.65	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21756106	"LCBIL000.15"
"15020005"	"LC"	"Little Colorado"	"BILLY CREEK/Headwaters - Show Low Creek/1"	"15020005-019"	"Category 2"	"FC-Attaining • BC-Attaining • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	7.65	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21756106	"LCBIL000.01"
"15020005"	"LC"	"Little Colorado"	"WALNUT CREEK (WAN)/ Pine Lake - Billy Creek/  1"	"15020005-238"	"Category 3"	"FC-Inconclusive • BC-Inconclusive • AGL-Inconclusive AW-Inconclusive"	"Lead /(dissolved)"	"Lead /(dissolved)"	NA	6.17	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15020007"	"LC"	"Little Colorado"	"PUERCO RIVER/Dead Wash - NineMilesWash/1"	"15020007-007"	"Category 5"	"DWS-Inconclusive • FC-Inconclusive • BC-Impaired/AGI-Inconclusive • AGL-Inconclusive/AW-Impaired"	"Copper(2010) and E. coli (2012/14)"	"Copper(2010) and E. coli (2012/14)"	NA	0.2	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15020008"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/34°59’17.66”/110°37’14.43” - Jacks Canyon/1"	"15020008-005"	"Category 3"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGI-Inconclusive • AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	1.824	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15020008"	"LC"	"Little Colorado"	"CLEAR CREEK/Sand Draw - Little Colorado/1"	"15020008-006"	"Category 3"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	35.493	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15020008"	"LC"	"Little Colorado"	"EAST CLEAR CREEK/Yeager Canyon - Willow Creek/1"	"15020008-008"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	17.442	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21745557	"LCECL009.39"
"15020008"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER/Chevelon Creek - Cottonwood Wash/1"	"15020008-014"	"Category 3"	"DWS-Inconclusive • FC-Inconclusive • BC-Inconclusive/AGI-Inconclusive • AGL-Inconclusive/AW-Inconclusive"	NA	NA	NA	8.51	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15020008"	"LC"	"Little Colorado"	"BARBERSHOP CANYON CREEK/Headwaters - East Clear Creek/1"	"15020008-537"	"Category 2"	"FC-Attaining • BC-Attaining • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	10.229	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21747755	"LCBRB007.63"
"15020008"	"LC"	"Little Colorado"	"BARBERSHOP CANYON CREEK/Headwaters - East Clear Creek/1"	"15020008-537"	"Category 2"	"FC-Attaining • BC-Attaining • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	10.229	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21745729	"LCBRB000.27"
"15020008"	"LC"	"Little Colorado"	"BARBERSHOP CANYON CREEK/Headwaters - East Clear Creek/1"	"15020008-537"	"Category 2"	"FC-Attaining • BC-Attaining • AGL-Attaining/AW-Inconclusive"	NA	NA	NA	10.229	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21747623	"LCBRB006.74"
"15020010"	"LC"	"Little Colorado"	"CHEVELON CANYON/Black Canyon - Little Colorado River/1"	"15020010-001"	"Category 3"	"FC-Inconclusive • BC-Inconclusive • AGI-Inconclusive AGL-Inconclusive • AW-Inconclusive"	NA	NA	NA	19.339	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	NA	NA
"15020010"	"LC"	"Little Colorado"	"CHEVELON CANYON/Headwaters - West Chevelon Creek/1"	"15020010-006"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	31.58	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21740810	"LCCHC075.04"
"15020010"	"LC"	"Little Colorado"	"CHEVELON CANYON/Headwaters - West Chevelon Creek/1"	"15020010-006"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	31.58	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21740876	"LCCHC081.26"
"15020010"	"LC"	"Little Colorado"	"CHEVELON CANYON/Headwaters - West Chevelon Creek/1"	"15020010-006"	"Category 2"	"FC-Attaining • BC-Attaining • AGI-Attaining/AGL-Attaining • AW-Inconclusive"	NA	NA	NA	31.58	"miles"	"Stream"	"Perennial"	NA	NA	NA	NA	21739278	"LCCHC060.43"
