	COMID	W___IMPERV	SLOPE	SLOPEGRADW	AWS050WTA	SLOPELENKM	RunOffV	MINELEVSMO	W___AGRIC	TempV	HYDCLPRS	W___CANAL_	DivDASqKM	W_RD_CROSS	ST_ORDER	ROCKTYPE1	HYDGRPDCD	DRCLASSDCD	HGroup	KGroup	Temp	HGroup2	KGroup2
3405	20351623	1.736922684	0.01405488	16	5.92	4.2270002	24.759599	5846	0.058323916	1767.96997	43	0	24.6897	0.364524478	2	Rock	D	2	1	2	17.6796997	1	2
3406	22555506	0.263935673	0.00001	4.3	4.51	0.083	233	59914	0	1759	35	0	3.6504	0.301833943	2	Alluvium	A	4	6	6	17.59	6	5
3407	22560616	0.087874465	0.01705882	37.299999	7.58	0.782	78.836196	20702	0	1817.939941	45	0	9.4635	0	2	Rock	C	3	5	2	18.17939941	2	2
3408	22555284	0.297186523	0.10649402	4.3	4.51	0.251	293	69910	0	1697	35	0	0.126	0.077187295	2	Alluvium	A	4	6	6	16.97	6	5
3409	20365937	1.63376688	0.00001	43.799999	4.3	0.875	49.536399	29042	11.78252121	1809.75	69	0	43.3863	0.875852516	3	Rock	D	3	4	2	18.0975	4	2
3410	20326409	0.473114635	0.06348593	0	0	1.813	70.086303	37117	0.062428849	1647.810058	100	0.002694009	637.2054	0.33427212	5	Rock	NA	NA	1	2	16.47810058	1	2
3411	17572827	0.091945705	0.02327179	2.5	6.02	0.975	178.414993	27124	0.379439837	1641.760009	75	0	92.0304	0.423773014	4	Rock	B	3	5	3	16.41760009	2	2
3412	20343301	1.483695652	0.03293992	17.1	5.63	1.415	79.383399	48738	4.792490119	1672.780029	34	0	1.8216	2.195871761	1	Rock	B	3	5	2	16.72780029	2	2
3413	22549147	11.95071869	0.00001	4.5	7.23	0.222	14.1047	277	0	1636.630004	54	0	0.4383	0	1	Rock	D	2	1	2	16.36630004	1	2
3414	20329578	0.018483434	0.00775095	3.6	5.59	0.787	23.791299	30532	0.036966868	1742.5	61	0	38.9538	0.795814529	3	Rock	B	3	5	2	17.425	2	2
3415	22555558	0.288383428	0.0530033	4.3	4.51	0.303	212.160995	58308	0	1766.96997	35	0	3.7035	0.300869513	2	Alluvium	A	4	6	6	17.6696997	6	5
3416	20348281	0.308516638	0.07451926	43.900002	4.08	2.4649999	42.381	64086	0	1802.520019	50	0	3.1914	0.940026321	1	Rock	C	4	3	2	18.02520019	3	2
3417	20350713	0.044763514	0.10143985	43.900002	4.08	1.646	86.9552	56327	0	1698.040039	50	0	1.0656	0.938438438	1	Rock	C	4	3	2	16.98040039	3	2
3418	17589834	0	0.0199555	23.200001	4.25	0.899	35.4878	1271	0	1455.050048	45	0	9.7056	0	2	Rock	D	NA	4	3	14.55050048	1	2
3419	20350837	28.12195773	0.01163283	31.200001	7.4	2.266	14.3673	250	0	1702.640014	38	0	20.2275	2.620195279	3	Water	D	3	1	5	17.02640014	1	4
3420	20341591	16.5645099	0.01452394	17.1	5.63	1.733	20.659599	9211	1.987892319	1756.030029	34	0	20.9619	2.003635167	2	Rock	B	3	5	2	17.56030029	2	2
3421	17590994	0	NA	23.200001	4.25	NA	103.719001	NA	0	1477.98999	45	0	0.5832	0	0	Rock	D	NA	4	3	14.7798999	1	2
3422	22548223	7.24744898	0.02633966	46	4.24	1.631	92.345703	44383	17.34693878	1790.939941	75	0	2.1168	2.362055933	1	Rock	D	3	4	2	17.90939941	4	2
